,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,+2 Mace,W,2.0,{1}{W},,,,"Equipped creature gets +2/+2.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",common,Equip,,Artifact
1,Arborea Pegasus,W,4.0,{3}{W},2.0,3.0,,"Flying
When Arborea Pegasus enters the battlefield, target creature gets +1/+1 and gains flying until end of turn.",common,Flying,,Creature
2,Blink Dog,W,3.0,{2}{W},1.0,1.0,,"Double strike
Teleport — {3}{W}: Blink Dog phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)",uncommon,Double strike,,Creature
3,The Book of Exalted Deeds,W,3.0,{W}{W}{W},,,,"At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying.
{W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains ""You can't lose the game and your opponents can't win the game."" Activate only as a sorcery.",mythic,,Legendary,Artifact
4,Celestial Unicorn,W,3.0,{2}{W},3.0,2.0,,"Whenever you gain life, put a +1/+1 counter on Celestial Unicorn.",common,,,Creature
5,Cleric Class,W,1.0,{W},,,,"(Gain the next level as a sorcery to add its ability.)
If you would gain life, you gain that much life plus 1 instead.
{3}{W}: Level 2
Whenever you gain life, put a +1/+1 counter on target creature you control.
{4}{W}: Level 3
When this Class becomes level 3, return target creature card from your graveyard to the battlefield. You gain life equal to its toughness.",uncommon,,,Enchantment
6,Cloister Gargoyle,W,3.0,{2}{W},0.0,4.0,,"When Cloister Gargoyle enters the battlefield, venture into the dungeon. (Enter the first room or advance to the next room.)
As long as you've completed a dungeon, Cloister Gargoyle gets +3/+0 and has flying.",uncommon,Venture into the dungeon,,"Artifact, Creature"
7,Dancing Sword,W,2.0,{1}{W},,,,"Equipped creature gets +2/+1.
When equipped creature dies, you may have Dancing Sword become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment.
Equip {1}",rare,Equip,,Artifact
8,Dawnbringer Cleric,W,2.0,{1}{W},1.0,3.0,,"When Dawnbringer Cleric enters the battlefield, choose one —
• Cure Wounds — You gain 2 life.
• Dispel Magic — Destroy target enchantment.
• Gentle Repose — Exile target card from a graveyard.",common,,,Creature
9,Delver's Torch,W,2.0,{1}{W},,,,"Equipped creature gets +1/+1.
Whenever equipped creature attacks, venture into the dungeon. (Enter the first room or advance to the next room.)
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",common,"Equip, Venture into the dungeon",,Artifact
10,Devoted Paladin,W,5.0,{4}{W},4.0,4.0,,"Beacon of Hope — When Devoted Paladin enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.",common,,,Creature
11,Divine Smite,W,2.0,{1}{W},,,,"Target creature or planeswalker an opponent controls phases out. If that permanent is black, exile it instead. (If it phases out, treat it and anything attached to it as though they don't exist until its controller's next turn.)",uncommon,,,Instant
12,Dragon's Disciple,W,2.0,{1}{W},1.0,3.0,,"As Dragon's Disciple enters the battlefield, you may reveal a Dragon card from your hand. If you do or if you control a Dragon, Dragon's Disciple enters the battlefield with a +1/+1 counter on it.
Dragons you control have ward {1}. (Whenever a Dragon you control becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)",uncommon,,,Creature
13,Dwarfhold Champion,W,2.0,{1}{W},3.0,1.0,,"As long as Dwarfhold Champion is equipped, it gets +0/+2.",common,,,Creature
