,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,Angel of Sanctions,W,5.0,{3}{W}{W},3.0,4.0,,"Flying
When Angel of Sanctions enters the battlefield, you may exile target nonland permanent an opponent controls until Angel of Sanctions leaves the battlefield.
Embalm {5}{W} ({5}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Angel with no mana cost. Embalm only as a sorcery.)",mythic,"Embalm, Flying",,Creature
1,Anointed Procession,W,4.0,{3}{W},,,,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.",rare,,,Enchantment
2,Anointer Priest,W,2.0,{1}{W},1.0,3.0,,"Whenever a creature token enters the battlefield under your control, you gain 1 life.
Embalm {3}{W} ({3}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Cleric with no mana cost. Embalm only as a sorcery.)",common,Embalm,,Creature
3,Approach of the Second Sun,W,7.0,{6}{W},,,,"If this spell was cast from your hand and you've cast another spell named Approach of the Second Sun this game, you win the game. Otherwise, put Approach of the Second Sun into its owner's library seventh from the top and you gain 7 life.",rare,,,Sorcery
4,Aven Mindcensor,W,3.0,{2}{W},2.0,1.0,,"Flash
Flying
If an opponent would search a library, that player searches the top four cards of that library instead.",rare,"Flash, Flying",,Creature
5,Binding Mummy,W,2.0,{1}{W},2.0,2.0,,"Whenever another Zombie enters the battlefield under your control, you may tap target artifact or creature.",common,,,Creature
6,Cartouche of Solidarity,W,1.0,{W},,,,"Enchant creature you control
When Cartouche of Solidarity enters the battlefield, create a 1/1 white Warrior creature token with vigilance.
Enchanted creature gets +1/+1 and has first strike.",common,Enchant,,Enchantment
7,Cast Out,W,4.0,{3}{W},,,,"Flash
When Cast Out enters the battlefield, exile target nonland permanent an opponent controls until Cast Out leaves the battlefield.
Cycling {W} ({W}, Discard this card: Draw a card.)",uncommon,"Cycling, Flash",,Enchantment
8,Compulsory Rest,W,2.0,{1}{W},,,,"Enchant creature
Enchanted creature can't attack or block.
Enchanted creature has ""{2}, Sacrifice this creature: You gain 2 life.""",common,Enchant,,Enchantment
9,Devoted Crop-Mate,W,3.0,{2}{W},3.0,2.0,,"You may exert Devoted Crop-Mate as it attacks. When you do, return target creature card with mana value 2 or less from your graveyard to the battlefield. (An exerted creature won't untap during your next untap step.)",uncommon,Exert,,Creature
10,Djeru's Resolve,W,1.0,{W},,,,"Untap target creature. Prevent all damage that would be dealt to it this turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Instant
11,Fan Bearer,W,1.0,{W},1.0,2.0,,"{2}, {T}: Tap target creature.",common,,,Creature
12,Forsake the Worldly,W,3.0,{2}{W},,,,"Exile target artifact or enchantment.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Instant
13,Gideon of the Trials,W,3.0,{1}{W}{W},,,3.0,"[+1]: Until your next turn, prevent all damage target permanent would deal.
[0]: Until end of turn, Gideon of the Trials becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.
[0]: You get an emblem with ""As long as you control a Gideon planeswalker, you can't lose the game and your opponents can't win the game.""",mythic,,Legendary,Planeswalker
14,Gideon's Intervention,W,4.0,{2}{W}{W},,,,"As Gideon's Intervention enters the battlefield, choose a card name.
Your opponents can't cast spells with the chosen name.
Prevent all damage that would be dealt to you and permanents you control by sources with the chosen name.",rare,,,Enchantment
15,Glory-Bound Initiate,W,2.0,{1}{W},3.0,1.0,,"You may exert Glory-Bound Initiate as it attacks. When you do, it gets +1/+3 and gains lifelink until end of turn. (An exerted creature won't untap during your next untap step.)",rare,Exert,,Creature
16,Gust Walker,W,2.0,{1}{W},2.0,2.0,,"You may exert Gust Walker as it attacks. When you do, it gets +1/+1 and gains flying until end of turn. (An exerted creature won't untap during your next untap step.)",common,Exert,,Creature
17,Impeccable Timing,W,2.0,{1}{W},,,,Impeccable Timing deals 3 damage to target attacking or blocking creature.,common,,,Instant
18,In Oketra's Name,W,2.0,{1}{W},,,,Zombies you control get +2/+1 until end of turn. Other creatures you control get +1/+1 until end of turn.,common,,,Instant
19,Mighty Leap,W,2.0,{1}{W},,,,Target creature gets +2/+2 and gains flying until end of turn.,common,,,Instant
20,Oketra the True,W,4.0,{3}{W},3.0,6.0,,"Double strike, indestructible
Oketra the True can't attack or block unless you control at least three other creatures.
{3}{W}: Create a 1/1 white Warrior creature token with vigilance.",mythic,"Double strike, Indestructible",Legendary,Creature
21,Oketra's Attendant,W,5.0,{3}{W}{W},3.0,3.0,,"Flying
Cycling {2} ({2}, Discard this card: Draw a card.)
Embalm {3}{W}{W} ({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Bird Soldier with no mana cost. Embalm only as a sorcery.)",uncommon,"Cycling, Embalm, Flying",,Creature
22,Protection of the Hekma,W,5.0,{4}{W},,,,"If a source an opponent controls would deal damage to you, prevent 1 of that damage.",uncommon,,,Enchantment
23,Regal Caracal,W,5.0,{3}{W}{W},3.0,3.0,,"Other Cats you control get +1/+1 and have lifelink.
When Regal Caracal enters the battlefield, create two 1/1 white Cat creature tokens with lifelink.",rare,,,Creature
24,Renewed Faith,W,3.0,{2}{W},,,,"You gain 6 life.
Cycling {1}{W} ({1}{W}, Discard this card: Draw a card.)
When you cycle Renewed Faith, you may gain 2 life.",uncommon,Cycling,,Instant
25,Rhet-Crop Spearmaster,W,3.0,{2}{W},3.0,1.0,,"You may exert Rhet-Crop Spearmaster as it attacks. When you do, it gets +1/+0 and gains first strike until end of turn. (An exerted creature won't untap during your next untap step.)",common,Exert,,Creature
