,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Bane of Bala Ged,C,7.0,{7},7.0,5.0,,"Whenever Bane of Bala Ged attacks, defending player exiles two permanents they control.",uncommon,,,Creature,Eldrazi
1,Blight Herder,C,5.0,{5},4.0,5.0,,"When you cast this spell, you may put two cards your opponents own from exile into their owners' graveyards. If you do, create three 1/1 colorless Eldrazi Scion creature tokens. They have ""Sacrifice this creature: Add {C}.""",rare,,,Creature,"Eldrazi, Processor"
2,Breaker of Armies,C,8.0,{8},10.0,8.0,,All creatures able to block Breaker of Armies do so.,uncommon,,,Creature,Eldrazi
3,Conduit of Ruin,C,6.0,{6},5.0,5.0,,"When you cast this spell, you may search your library for a colorless creature card with mana value 7 or greater, reveal it, then shuffle and put that card on top.
The first creature spell you cast each turn costs {2} less to cast.",rare,,,Creature,Eldrazi
4,Deathless Behemoth,C,6.0,{6},6.0,6.0,,"Vigilance
Sacrifice two Eldrazi Scions: Return Deathless Behemoth from your graveyard to your hand. Activate only as a sorcery.",uncommon,Vigilance,,Creature,Eldrazi
5,Desolation Twin,C,10.0,{10},10.0,10.0,,"When you cast this spell, create a 10/10 colorless Eldrazi creature token.",rare,,,Creature,Eldrazi
6,Eldrazi Devastator,C,8.0,{8},8.0,9.0,,Trample,common,Trample,,Creature,Eldrazi
7,Gruesome Slaughter,C,6.0,{6},,,,"Until end of turn, colorless creatures you control gain ""{T}: This creature deals damage equal to its power to target creature.""",rare,,,Sorcery,
8,Kozilek's Channeler,C,5.0,{5},4.0,4.0,,{T}: Add {C}{C}.,common,,,Creature,Eldrazi
9,Oblivion Sower,C,6.0,{6},5.0,8.0,,"When you cast this spell, target opponent exiles the top four cards of their library, then you may put any number of land cards that player owns from exile onto the battlefield under your control.",mythic,,,Creature,Eldrazi
10,Ruin Processor,C,7.0,{7},7.0,8.0,,"When you cast this spell, you may put a card an opponent owns from exile into that player's graveyard. If you do, you gain 5 life.",common,,,Creature,"Eldrazi, Processor"
11,Scour from Existence,C,7.0,{7},,,,Exile target permanent.,common,,,Instant,
12,Titan's Presence,C,3.0,{3},,,,"As an additional cost to cast this spell, reveal a colorless creature card from your hand.
Exile target creature if its power is less than or equal to the revealed card's power.",uncommon,,,Instant,
13,"Ulamog, the Ceaseless Hunger",C,10.0,{10},10.0,10.0,,"When you cast this spell, exile two target permanents.
Indestructible
Whenever Ulamog, the Ceaseless Hunger attacks, defending player exiles the top twenty cards of their library.",mythic,Indestructible,Legendary,Creature,Eldrazi
14,Ulamog's Despoiler,C,6.0,{6},5.0,5.0,,"As Ulamog's Despoiler enters the battlefield, you may put two cards your opponents own from exile into their owners' graveyards. If you do, Ulamog's Despoiler enters the battlefield with four +1/+1 counters on it.",uncommon,,,Creature,"Eldrazi, Processor"
15,Void Winnower,C,9.0,{9},11.0,9.0,,"Your opponents can't cast spells with even mana values. (Zero is even.)
Your opponents can't block with creatures with even mana values.",mythic,,,Creature,Eldrazi
16,Angel of Renewal,W,6.0,{5}{W},4.0,4.0,,"Flying
When Angel of Renewal enters the battlefield, you gain 1 life for each creature you control.",uncommon,Flying,,Creature,"Angel, Ally"
17,Angelic Gift,W,2.0,{1}{W},,,,"Enchant creature
When Angelic Gift enters the battlefield, draw a card.
Enchanted creature has flying.",common,Enchant,,Enchantment,Aura
18,Cliffside Lookout,W,1.0,{W},1.0,1.0,,{4}{W}: Creatures you control get +1/+1 until end of turn.,common,,,Creature,"Kor, Scout, Ally"
19,Courier Griffin,W,4.0,{3}{W},2.0,3.0,,"Flying
When Courier Griffin enters the battlefield, you gain 2 life.",common,Flying,,Creature,Griffin
20,Emeria Shepherd,W,7.0,{5}{W}{W},4.0,4.0,,"Flying
Landfall — Whenever a land enters the battlefield under your control, you may return target nonland permanent card from your graveyard to your hand. If that land is a Plains, you may return that nonland permanent card to the battlefield instead.",rare,"Flying, Landfall",,Creature,Angel
21,Encircling Fissure,W,3.0,{2}{W},,,,"Prevent all combat damage that would be dealt this turn by creatures target opponent controls.
Awaken 2—{4}{W} (If you cast this spell for {4}{W}, also put two +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)",uncommon,Awaken,,Instant,
22,Expedition Envoy,W,1.0,{W},2.0,1.0,,,uncommon,,,Creature,"Human, Scout, Ally"
23,Felidar Cub,W,2.0,{1}{W},2.0,2.0,,Sacrifice Felidar Cub: Destroy target enchantment.,common,,,Creature,"Cat, Beast"
24,Felidar Sovereign,W,6.0,{4}{W}{W},4.0,6.0,,"Vigilance, lifelink
At the beginning of your upkeep, if you have 40 or more life, you win the game.",rare,"Lifelink, Vigilance",,Creature,"Cat, Beast"
25,Fortified Rampart,W,2.0,{1}{W},0.0,6.0,,Defender,common,Defender,,Creature,Wall
26,Ghostly Sentinel,W,5.0,{4}{W},3.0,3.0,,"Flying, vigilance",common,"Flying, Vigilance",,Creature,"Kor, Spirit"
27,"Gideon, Ally of Zendikar",W,4.0,{2}{W}{W},,,4.0,"[+1]: Until end of turn, Gideon, Ally of Zendikar becomes a 5/5 Human Soldier Ally creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.
[0]: Create a 2/2 white Knight Ally creature token.
[−4]: You get an emblem with ""Creatures you control get +1/+1.""",mythic,,Legendary,Planeswalker,Gideon
28,Gideon's Reproach,W,2.0,{1}{W},,,,Gideon's Reproach deals 4 damage to target attacking or blocking creature.,common,,,Instant,
29,Hero of Goma Fada,W,5.0,{4}{W},4.0,3.0,,"Rally — Whenever Hero of Goma Fada or another Ally enters the battlefield under your control, creatures you control gain indestructible until end of turn.",rare,Rally,,Creature,"Human, Knight, Ally"
30,Inspired Charge,W,4.0,{2}{W}{W},,,,Creatures you control get +2/+1 until end of turn.,common,,,Instant,
31,Kitesail Scout,W,1.0,{W},1.0,1.0,,Flying,common,Flying,,Creature,"Kor, Scout"
32,Kor Bladewhirl,W,2.0,{1}{W},2.0,2.0,,"Rally — Whenever Kor Bladewhirl or another Ally enters the battlefield under your control, creatures you control gain first strike until end of turn.",uncommon,Rally,,Creature,"Kor, Soldier, Ally"
33,Kor Castigator,W,2.0,{1}{W},3.0,1.0,,Kor Castigator can't be blocked by Eldrazi Scions.,common,,,Creature,"Kor, Wizard, Ally"
34,Kor Entanglers,W,5.0,{4}{W},3.0,4.0,,"Rally — Whenever Kor Entanglers or another Ally enters the battlefield under your control, tap target creature an opponent controls.",uncommon,Rally,,Creature,"Kor, Soldier, Ally"
35,Lantern Scout,W,3.0,{2}{W},3.0,2.0,,"Rally — Whenever Lantern Scout or another Ally enters the battlefield under your control, creatures you control gain lifelink until end of turn.",rare,Rally,,Creature,"Human, Scout, Ally"
36,Lithomancer's Focus,W,1.0,{W},,,,Target creature gets +2/+2 until end of turn. Prevent all damage that would be dealt to that creature this turn by colorless sources.,common,,,Instant,
37,Makindi Patrol,W,3.0,{2}{W},2.0,3.0,,"Rally — Whenever Makindi Patrol or another Ally enters the battlefield under your control, creatures you control gain vigilance until end of turn.",common,Rally,,Creature,"Human, Knight, Ally"
