,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Acclaimed Contender,W,3.0,{2}{W},3.0,3.0,,"When Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",rare,,,Creature,"Human, Knight"
1,All That Glitters,W,2.0,{1}{W},,,,"Enchant creature
Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.",uncommon,Enchant,,Enchantment,Aura
2,Archon of Absolution,W,4.0,{3}{W},3.0,2.0,,"Flying
Protection from white (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything white.)
Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.",uncommon,"Flying, Protection",,Creature,Archon
3,Ardenvale Paladin,W,4.0,{3}{W},2.0,5.0,,"Adamant — If at least three white mana was spent to cast this spell, Ardenvale Paladin enters the battlefield with a +1/+1 counter on it.",common,Adamant,,Creature,"Human, Knight"
4,Ardenvale Tactician,W,3.0,{1}{W}{W},2.0,3.0,,Flying,common,Flying,,Creature,"Human, Knight"
5,Dizzying Swoop,W,3.0,{1}{W},,,,Tap up to two target creatures. (Then exile this card. You may cast the creature later from exile.),common,,,Instant,Adventure
6,Bartered Cow,W,4.0,{3}{W},3.0,3.0,,"When Bartered Cow dies or when you discard it, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",common,,,Creature,Ox
7,Beloved Princess,W,1.0,{W},1.0,1.0,,"Lifelink
Beloved Princess can't be blocked by creatures with power 3 or greater.",common,Lifelink,,Creature,"Human, Noble"
8,Charming Prince,W,2.0,{1}{W},2.0,2.0,,"When Charming Prince enters the battlefield, choose one —
• Scry 2.
• You gain 3 life.
• Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step.",rare,Scry,,Creature,"Human, Noble"
9,The Circle of Loyalty,W,6.0,{4}{W}{W},,,,"This spell costs {1} less to cast for each Knight you control.
Creatures you control get +1/+1.
Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance.
{3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.",mythic,,Legendary,Artifact,
10,Deafening Silence,W,1.0,{W},,,,Each player can't cast more than one noncreature spell each turn.,uncommon,,,Enchantment,
11,Faerie Guidemother,W,1.0,{W},1.0,1.0,,Flying,common,Flying,,Creature,Faerie
12,Gift of the Fae,W,1.0,{1}{W},,,,Target creature gets +2/+1 and gains flying until end of turn. (Then exile this card. You may cast the creature later from exile.),common,Flying,,Sorcery,Adventure
13,Flutterfox,W,2.0,{1}{W},2.0,2.0,,"As long as you control an artifact or enchantment, Flutterfox has flying.",common,,,Creature,Fox
14,Fortifying Provisions,W,3.0,{2}{W},,,,"Creatures you control get +0/+1.
When Fortifying Provisions enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",common,,,Enchantment,
