,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,Abundant Maw,,8.0,{8},6.0,4.0,,"Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, target opponent loses 3 life and you gain 3 life.",uncommon,Emerge,,Creature
1,Decimator of the Provinces,,10.0,{10},7.0,7.0,,"Emerge {6}{G}{G}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, creatures you control get +2/+2 and gain trample until end of turn.
Trample, haste",mythic,"Emerge, Haste, Trample",,Creature
2,Distended Mindbender,,8.0,{8},5.0,5.0,,"Emerge {5}{B}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, target opponent reveals their hand. You choose from it a nonland card with mana value 3 or less and a card with mana value 4 or greater. That player discards those cards.",rare,Emerge,,Creature
3,Drownyard Behemoth,,9.0,{9},5.0,7.0,,"Flash (You may cast this spell any time you could cast an instant.)
Emerge {7}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
Drownyard Behemoth has hexproof as long as it entered the battlefield this turn.",uncommon,"Emerge, Flash",,Creature
4,Elder Deep-Fiend,,8.0,{8},5.0,6.0,,"Flash
Emerge {5}{U}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, tap up to four target permanents.",rare,"Emerge, Flash",,Creature
5,"Emrakul, the Promised End",,13.0,{13},13.0,13.0,,"This spell costs {1} less to cast for each card type among cards in your graveyard.
When you cast this spell, you gain control of target opponent during that player's next turn. After that turn, that player takes an extra turn.
Flying, trample, protection from instants",mythic,"Flying, Protection, Trample",Legendary,Creature
6,Eternal Scourge,,3.0,{3},3.0,3.0,,"You may cast Eternal Scourge from exile.
When Eternal Scourge becomes the target of a spell or ability an opponent controls, exile Eternal Scourge.",rare,,,Creature
7,It of the Horrid Swarm,,8.0,{8},4.0,4.0,,"Emerge {6}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, create two 1/1 green Insect creature tokens.",common,Emerge,,Creature
8,Lashweed Lurker,,8.0,{8},5.0,4.0,,"Emerge {5}{G}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, you may put target nonland permanent on top of its owner's library.",uncommon,Emerge,,Creature
9,Mockery of Nature,,9.0,{9},6.0,5.0,,"Emerge {7}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, you may destroy target artifact or enchantment.",uncommon,Emerge,,Creature
10,Vexing Scuttler,,8.0,{8},4.0,5.0,,"Emerge {6}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, you may return target instant or sorcery card from your graveyard to your hand.",uncommon,Emerge,,Creature
11,Wretched Gryff,,7.0,{7},3.0,4.0,,"Emerge {5}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, draw a card.
Flying",common,"Emerge, Flying",,Creature
12,Blessed Alliance,W,2.0,{1}{W},,,,"Escalate {2} (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Target player gains 4 life.
• Untap up to two target creatures.
• Target opponent sacrifices an attacking creature.",uncommon,Escalate,,Instant
13,Borrowed Grace,W,3.0,{2}{W},,,,"Escalate {1}{W} (Pay this cost for each mode chosen beyond the first.)
Choose one or both —
• Creatures you control get +2/+0 until end of turn.
• Creatures you control get +0/+2 until end of turn.",common,Escalate,,Instant
14,"Bruna, the Fading Light",W,7.0,{5}{W}{W},5.0,7.0,,"When you cast this spell, you may return target Angel or Human creature card from your graveyard to the battlefield.
Flying, vigilance
(Melds with Gisela, the Broken Blade.)",rare,"Flying, Vigilance",Legendary,Creature
15,"Brisela, Voice of Nightmares",,11.0,,9.0,10.0,,"Flying, first strike, vigilance, lifelink
Your opponents can't cast spells with mana value 3 or less.",mythic,"First strike, Flying, Lifelink, Vigilance",Legendary,Creature
16,Choking Restraints,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature can't attack or block.
{3}{W}{W}, Sacrifice Choking Restraints: Exile enchanted creature.",common,Enchant,,Enchantment
17,Collective Effort,W,3.0,{1}{W}{W},,,,"Escalate—Tap an untapped creature you control. (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Destroy target creature with power 4 or greater.
• Destroy target enchantment.
• Put a +1/+1 counter on each creature target player controls.",rare,Escalate,,Sorcery
18,Courageous Outrider,W,4.0,{3}{W},3.0,4.0,,"When Courageous Outrider enters the battlefield, look at the top four cards of your library. You may reveal a Human card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",uncommon,,,Creature
19,Dawn Gryff,W,3.0,{2}{W},2.0,2.0,,Flying,common,Flying,,Creature
20,Deploy the Gatewatch,W,6.0,{4}{W}{W},,,,Look at the top seven cards of your library. Put up to two planeswalker cards from among them onto the battlefield. Put the rest on the bottom of your library in a random order.,mythic,,,Sorcery
21,Desperate Sentry,W,3.0,{2}{W},1.0,2.0,,"When Desperate Sentry dies, create a 3/2 colorless Eldrazi Horror creature token.
Delirium — Desperate Sentry gets +3/+0 as long as there are four or more card types among cards in your graveyard.",common,Delirium,,Creature
22,Drogskol Shieldmate,W,3.0,{2}{W},2.0,3.0,,"Flash (You may cast this spell any time you could cast an instant.)
When Drogskol Shieldmate enters the battlefield, other creatures you control get +0/+1 until end of turn.",uncommon,Flash,,Creature
23,Extricator of Sin,W,3.0,{2}{W},0.0,3.0,,"When Extricator of Sin enters the battlefield, you may sacrifice another permanent. If you do, create a 3/2 colorless Eldrazi Horror creature token.
Delirium — At the beginning of your upkeep, if there are four or more card types among cards in your graveyard, transform Extricator of Sin.",uncommon,"Delirium, Transform",,Creature
24,Extricator of Flesh,,3.0,,3.0,5.0,,"Eldrazi you control have vigilance.
{2}, {T}, Sacrifice a non-Eldrazi creature: Create a 3/2 colorless Eldrazi Horror creature token.",uncommon,,,Creature
25,Faith Unbroken,W,4.0,{3}{W},,,,"Enchant creature you control
When Faith Unbroken enters the battlefield, exile target creature an opponent controls until Faith Unbroken leaves the battlefield.
Enchanted creature gets +2/+2.",uncommon,Enchant,,Enchantment
26,Faithbearer Paladin,W,5.0,{4}{W},3.0,4.0,,Lifelink (Damage dealt by this creature also causes you to gain that much life.),common,Lifelink,,Creature
27,Fiend Binder,W,4.0,{3}{W},3.0,2.0,,"Whenever Fiend Binder attacks, tap target creature defending player controls.",common,,,Creature
28,Geist of the Lonely Vigil,W,2.0,{1}{W},2.0,3.0,,"Defender, flying
Delirium — Geist of the Lonely Vigil can attack as though it didn't have defender as long as there are four or more card types among cards in your graveyard.",uncommon,"Defender, Delirium, Flying",,Creature
29,"Gisela, the Broken Blade",W,4.0,{2}{W}{W},4.0,3.0,,"Flying, first strike, lifelink
At the beginning of your end step, if you both own and control Gisela, the Broken Blade and a creature named Bruna, the Fading Light, exile them, then meld them into Brisela, Voice of Nightmares.",mythic,"First strike, Flying, Lifelink, Meld",Legendary,Creature
30,Give No Ground,W,4.0,{3}{W},,,,Target creature gets +2/+6 until end of turn and can block any number of creatures this turn.,uncommon,,,Instant
31,Guardian of Pilgrims,W,2.0,{1}{W},2.0,2.0,,"When Guardian of Pilgrims enters the battlefield, target creature gets +1/+1 until end of turn.",common,,,Creature
32,Ironclad Slayer,W,3.0,{2}{W},3.0,2.0,,"When Ironclad Slayer enters the battlefield, you may return target Aura or Equipment card from your graveyard to your hand.",common,,,Creature
33,Ironwright's Cleansing,W,3.0,{2}{W},,,,Exile target artifact or enchantment.,common,,,Sorcery
34,Lone Rider,W,2.0,{1}{W},1.0,1.0,,"First strike, lifelink
At the beginning of the end step, if you gained 3 or more life this turn, transform Lone Rider.",uncommon,"First strike, Lifelink, Transform",,Creature
35,It That Rides as One,,2.0,,4.0,4.0,,"First strike, trample, lifelink",uncommon,"First strike, Lifelink, Trample",,Creature
