,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Blade Instructor,W,3.0,{2}{W},3.0,1.0,,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)",common,Mentor,,Creature,"Human, Soldier"
1,Bounty Agent,W,2.0,{1}{W},2.0,2.0,,"Vigilance
{T}, Sacrifice Bounty Agent: Destroy target legendary permanent that's an artifact, creature, or enchantment.",rare,Vigilance,,Creature,"Human, Soldier"
2,Candlelight Vigil,W,4.0,{3}{W},,,,"Enchant creature
Enchanted creature gets +3/+2 and has vigilance.",common,Enchant,,Enchantment,Aura
3,Citywide Bust,W,3.0,{1}{W}{W},,,,Destroy all creatures with toughness 4 or greater.,rare,,,Sorcery,
4,Collar the Culprit,W,4.0,{3}{W},,,,Destroy target creature with toughness 4 or greater.,common,,,Instant,
5,Conclave Tribunal,W,4.0,{3}{W},,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When Conclave Tribunal enters the battlefield, exile target nonland permanent an opponent controls until Conclave Tribunal leaves the battlefield.",uncommon,Convoke,,Enchantment,
6,Crush Contraband,W,4.0,{3}{W},,,,"Choose one or both —
• Exile target artifact.
• Exile target enchantment.",uncommon,,,Instant,
7,Dawn of Hope,W,2.0,{1}{W},,,,"Whenever you gain life, you may pay {2}. If you do, draw a card.
{3}{W}: Create a 1/1 white Soldier creature token with lifelink.",rare,,,Enchantment,
8,Demotion,W,1.0,{W},,,,"Enchant creature
Enchanted creature can't block, and its activated abilities can't be activated.",uncommon,Enchant,,Enchantment,Aura
9,Divine Visitation,W,5.0,{3}{W}{W},,,,"If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead.",mythic,,,Enchantment,
10,Flight of Equenauts,W,8.0,{7}{W},4.0,5.0,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying",uncommon,"Convoke, Flying",,Creature,"Human, Knight"
11,Gird for Battle,W,1.0,{W},,,,Put a +1/+1 counter on each of up to two target creatures.,uncommon,,,Sorcery,
12,Haazda Marshal,W,1.0,{W},1.0,1.0,,"Whenever Haazda Marshal and at least two other creatures attack, create a 1/1 white Soldier creature token with lifelink.",uncommon,,,Creature,"Human, Soldier"
13,Healer's Hawk,W,1.0,{W},1.0,1.0,,"Flying, lifelink",common,"Flying, Lifelink",,Creature,Bird
14,Hunted Witness,W,1.0,{W},1.0,1.0,,"When Hunted Witness dies, create a 1/1 white Soldier creature token with lifelink.",common,,,Creature,Human
15,Inspiring Unicorn,W,4.0,{2}{W}{W},2.0,2.0,,"Whenever Inspiring Unicorn attacks, creatures you control get +1/+1 until end of turn.",uncommon,,,Creature,Unicorn
16,Intrusive Packbeast,W,5.0,{4}{W},3.0,3.0,,"Vigilance
When Intrusive Packbeast enters the battlefield, tap up to two target creatures your opponents control.",common,Vigilance,,Creature,Beast
17,Ledev Guardian,W,4.0,{3}{W},2.0,4.0,,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.),common,Convoke,,Creature,"Human, Knight"
18,Light of the Legion,W,6.0,{4}{W}{W},5.0,5.0,,"Flying
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
When Light of the Legion dies, put a +1/+1 counter on each white creature you control.",rare,"Flying, Mentor",,Creature,Angel
19,Loxodon Restorer,W,6.0,{4}{W}{W},3.0,4.0,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When Loxodon Restorer enters the battlefield, you gain 4 life.",common,Convoke,,Creature,"Elephant, Cleric"
20,Luminous Bonds,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature can't attack or block.",common,Enchant,,Enchantment,Aura
21,Parhelion Patrol,W,4.0,{3}{W},2.0,3.0,,"Flying, vigilance
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)",common,"Flying, Mentor, Vigilance",,Creature,"Human, Knight"
22,Righteous Blow,W,1.0,{W},,,,Righteous Blow deals 2 damage to target attacking or blocking creature.,common,,,Instant,
23,Roc Charger,W,3.0,{2}{W},1.0,3.0,,"Flying
Whenever Roc Charger attacks, target attacking creature without flying gains flying until end of turn.",uncommon,Flying,,Creature,Bird
24,Skyline Scout,W,2.0,{1}{W},2.0,1.0,,"Whenever Skyline Scout attacks, you may pay {1}{W}. If you do, it gains flying until end of turn.",common,,,Creature,"Human, Scout"
25,Sunhome Stalwart,W,2.0,{1}{W},2.0,2.0,,"First strike
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)",uncommon,"First strike, Mentor",,Creature,"Human, Soldier"
26,Sworn Companions,W,3.0,{2}{W},,,,Create two 1/1 white Soldier creature tokens with lifelink.,common,,,Sorcery,
27,Take Heart,W,1.0,{W},,,,Target creature gets +2/+2 until end of turn. You gain 1 life for each attacking creature you control.,common,,,Instant,
28,Tenth District Guard,W,2.0,{1}{W},2.0,2.0,,"When Tenth District Guard enters the battlefield, target creature gets +0/+1 until end of turn.",common,,,Creature,"Human, Soldier"
29,Venerated Loxodon,W,5.0,{4}{W},4.0,4.0,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When Venerated Loxodon enters the battlefield, put a +1/+1 counter on each creature that convoked it.",rare,Convoke,,Creature,"Elephant, Cleric"
30,Capture Sphere,U,4.0,{3}{U},,,,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
When Capture Sphere enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",common,"Enchant, Flash",,Enchantment,Aura
31,Chemister's Insight,U,4.0,{3}{U},,,,"Draw two cards.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",uncommon,Jump-start,,Instant,
32,Citywatch Sphinx,U,6.0,{5}{U},5.0,4.0,,"Flying
When Citywatch Sphinx dies, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",uncommon,"Flying, Surveil",,Creature,Sphinx
33,Dazzling Lights,U,1.0,{U},,,,"Target creature gets -3/-0 until end of turn.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",common,Surveil,,Instant,
34,Devious Cover-Up,U,4.0,{2}{U}{U},,,,"Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard. You may shuffle up to four target cards from your graveyard into your library.",common,,,Instant,
35,Dimir Informant,U,3.0,{2}{U},1.0,4.0,,"When Dimir Informant enters the battlefield, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",common,Surveil,,Creature,"Human, Rogue"
36,Disdainful Stroke,U,2.0,{1}{U},,,,Counter target spell with mana value 4 or greater.,common,,,Instant,
37,Dream Eater,U,6.0,{4}{U}{U},4.0,3.0,,"Flash
Flying
When Dream Eater enters the battlefield, surveil 4. When you do, you may return target nonland permanent an opponent controls to its owner's hand. (To surveil 4, look at the top four cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",mythic,"Flash, Flying, Surveil",,Creature,"Nightmare, Sphinx"
38,Drowned Secrets,U,2.0,{1}{U},,,,"Whenever you cast a blue spell, target player mills two cards.",rare,Mill,,Enchantment,
39,Enhanced Surveillance,U,2.0,{1}{U},,,,"You may look at an additional two cards each time you surveil.
Exile Enhanced Surveillance: Shuffle your graveyard into your library.",uncommon,,,Enchantment,
40,Guild Summit,U,3.0,{2}{U},,,,"When Guild Summit enters the battlefield, you may tap any number of untapped Gates you control. Draw a card for each Gate tapped this way.
Whenever a Gate enters the battlefield under your control, draw a card.",uncommon,,,Enchantment,
41,Leapfrog,U,3.0,{2}{U},3.0,1.0,,Leapfrog has flying as long as you've cast an instant or sorcery spell this turn.,common,,,Creature,Frog
