,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,Act of Heroism,W,2.0,{1}{W},,,,Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.,common,,,Instant
1,Adorned Pouncer,W,2.0,{1}{W},1.0,1.0,,"Double strike
Eternalize {3}{W}{W} ({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)",rare,"Double strike, Eternalize",,Creature
2,Angel of Condemnation,W,4.0,{2}{W}{W},3.0,3.0,,"Flying, vigilance
{2}{W}, {T}: Exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.
{2}{W}, {T}, Exert Angel of Condemnation: Exile another target creature until Angel of Condemnation leaves the battlefield. (An exerted creature won't untap during your next untap step.)",rare,"Exert, Flying, Vigilance",,Creature
3,Angel of the God-Pharaoh,W,6.0,{4}{W}{W},4.0,4.0,,"Flying
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,"Cycling, Flying",,Creature
4,Aven of Enduring Hope,W,5.0,{4}{W},3.0,3.0,,"Flying
When Aven of Enduring Hope enters the battlefield, you gain 3 life.",common,Flying,,Creature
5,Crested Sunmare,W,5.0,{3}{W}{W},5.0,5.0,,"Other Horses you control have indestructible.
At the beginning of each end step, if you gained life this turn, create a 5/5 white Horse creature token.",mythic,,,Creature
6,Dauntless Aven,W,3.0,{2}{W},2.0,1.0,,"Flying
Whenever Dauntless Aven attacks, untap target creature you control.",common,Flying,,Creature
7,Desert's Hold,W,3.0,{2}{W},,,,"Enchant creature
When Desert's Hold enters the battlefield, if you control a Desert or there is a Desert card in your graveyard, you gain 3 life.
Enchanted creature can't attack or block, and its activated abilities can't be activated.",uncommon,Enchant,,Enchantment
8,Disposal Mummy,W,3.0,{2}{W},2.0,3.0,,"When Disposal Mummy enters the battlefield, exile target card from an opponent's graveyard.",common,,,Creature
9,"Djeru, With Eyes Open",W,5.0,{3}{W}{W},4.0,3.0,,"Vigilance
When Djeru, With Eyes Open enters the battlefield, you may search your library for a planeswalker card, reveal it, put it into your hand, then shuffle.
If a source would deal damage to a planeswalker you control, prevent 1 of that damage.",rare,Vigilance,Legendary,Creature
10,Djeru's Renunciation,W,2.0,{1}{W},,,,"Tap up to two target creatures.
Cycling {W} ({W}, Discard this card: Draw a card.)",common,Cycling,,Instant
11,Dutiful Servants,W,4.0,{3}{W},2.0,5.0,,,common,,,Creature
12,Gideon's Defeat,W,1.0,{W},,,,"Exile target white creature that's attacking or blocking. If it was a Gideon planeswalker, you gain 5 life.",uncommon,,,Instant
13,God-Pharaoh's Faithful,W,1.0,{W},0.0,4.0,,"Whenever you cast a blue, black, or red spell, you gain 1 life.",common,,,Creature
14,Hour of Revelation,W,6.0,{3}{W}{W}{W},,,,"This spell costs {3} less to cast if there are ten or more nonland permanents on the battlefield.
Destroy all nonland permanents.",rare,,,Sorcery
15,Mummy Paramount,W,2.0,{1}{W},2.0,2.0,,"Whenever another Zombie enters the battlefield under your control, Mummy Paramount gets +1/+1 until end of turn.",common,,,Creature
16,Oketra's Avenger,W,2.0,{1}{W},3.0,1.0,,"You may exert Oketra's Avenger as it attacks. When you do, prevent all combat damage that would be dealt to it this turn. (An exerted creature won't untap during your next untap step.)",common,Exert,,Creature
17,Oketra's Last Mercy,W,3.0,{1}{W}{W},,,,Your life total becomes equal to your starting life total. Lands you control don't untap during your next untap step.,rare,,,Sorcery
18,Overwhelming Splendor,W,8.0,{6}{W}{W},,,,"Enchant player
Creatures enchanted player controls lose all abilities and have base power and toughness 1/1.
Enchanted player can't activate abilities that aren't mana abilities or loyalty abilities.",mythic,Enchant,,Enchantment
19,Sandblast,W,3.0,{2}{W},,,,Sandblast deals 5 damage to target attacking or blocking creature.,common,,,Instant
20,Saving Grace,W,2.0,{1}{W},,,,"Flash
Enchant creature you control
When Saving Grace enters the battlefield, all damage that would be dealt this turn to you and permanents you control is dealt to enchanted creature instead.
Enchanted creature gets +0/+3.",uncommon,"Enchant, Flash",,Enchantment
21,Solemnity,W,3.0,{2}{W},,,,"Players can't get counters.
Counters can't be put on artifacts, creatures, enchantments, or lands.",rare,,,Enchantment
22,Solitary Camel,W,3.0,{2}{W},3.0,2.0,,Solitary Camel has lifelink as long as you control a Desert or there is a Desert card in your graveyard. (Damage dealt by this creature also causes you to gain that much life.),common,,,Creature
23,Steadfast Sentinel,W,4.0,{3}{W},2.0,3.0,,"Vigilance
Eternalize {4}{W}{W} ({4}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Human Cleric with no mana cost. Eternalize only as a sorcery.)",common,"Eternalize, Vigilance",,Creature
24,Steward of Solidarity,W,2.0,{1}{W},2.0,2.0,,"{T}, Exert Steward of Solidarity: Create a 1/1 white Warrior creature token with vigilance. (An exerted creature won't untap during your next untap step.)",uncommon,Exert,,Creature
25,Sunscourge Champion,W,3.0,{2}{W},2.0,3.0,,"When Sunscourge Champion enters the battlefield, you gain life equal to its power.
Eternalize—{2}{W}{W}, Discard a card. ({2}{W}{W}, Discard a card, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Human Wizard with no mana cost. Eternalize only as a sorcery.)",uncommon,Eternalize,,Creature
26,Unconventional Tactics,W,3.0,{2}{W},,,,"Target creature gets +3/+3 and gains flying until end of turn.
Whenever a Zombie enters the battlefield under your control, you may pay {W}. If you do, return Unconventional Tactics from your graveyard to your hand.",uncommon,,,Sorcery
27,Vizier of the True,W,4.0,{3}{W},3.0,2.0,,"You may exert Vizier of the True as it attacks. (It won't untap during your next untap step.)
Whenever you exert a creature, tap target creature an opponent controls.",uncommon,Exert,,Creature
28,Aerial Guide,U,3.0,{2}{U},2.0,2.0,,"Flying
Whenever Aerial Guide attacks, another target attacking creature gains flying until end of turn.",common,Flying,,Creature
29,Aven Reedstalker,U,4.0,{3}{U},2.0,3.0,,"Flash
Flying",common,"Flash, Flying",,Creature
30,Champion of Wits,U,3.0,{2}{U},2.0,1.0,,"When Champion of Wits enters the battlefield, you may draw cards equal to its power. If you do, discard two cards.
Eternalize {5}{U}{U} ({5}{U}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Naga Wizard with no mana cost. Eternalize only as a sorcery.)",rare,Eternalize,,Creature
31,Countervailing Winds,U,3.0,{2}{U},,,,"Counter target spell unless its controller pays {1} for each card in your graveyard.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Instant
32,Cunning Survivor,U,2.0,{1}{U},1.0,3.0,,"Whenever you cycle or discard a card, Cunning Survivor gets +1/+0 until end of turn and can't be blocked this turn.",common,,,Creature
33,Eternal of Harsh Truths,U,3.0,{2}{U},1.0,3.0,,"Afflict 2 (Whenever this creature becomes blocked, defending player loses 2 life.)
Whenever Eternal of Harsh Truths attacks and isn't blocked, draw a card.",uncommon,Afflict,,Creature
34,Fraying Sanity,U,3.0,{2}{U},,,,"Enchant player
At the beginning of each end step, enchanted player mills X cards, where X is the number of cards put into their graveyard from anywhere this turn.",rare,"Enchant, Mill",,Enchantment
35,Hour of Eternity,U,3.0,{X}{X}{U}{U}{U},,,,"Exile X target creature cards from your graveyard. For each card exiled this way, create a token that's a copy of that card, except it's a 4/4 black Zombie.",rare,,,Sorcery
36,Imaginary Threats,U,4.0,{2}{U}{U},,,,"Creatures target opponent controls attack this turn if able. During that player's next untap step, creatures they control don't untap.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,Cycling,,Instant
37,Jace's Defeat,U,2.0,{1}{U},,,,"Counter target blue spell. If it was a Jace planeswalker spell, scry 2.",uncommon,Scry,,Instant
38,Kefnet's Last Word,U,4.0,{2}{U}{U},,,,"Gain control of target artifact, creature, or enchantment. Lands you control don't untap during your next untap step.",rare,,,Sorcery
