,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Aerial Assault,W,3.0,{2}{W},,,,Destroy target tapped creature. You gain 1 life for each creature you control with flying.,common,,,Sorcery,
1,"Ajani, Strength of the Pride",W,4.0,{2}{W}{W},,,5.0,"[+1]: You gain life equal to the number of creatures you control plus the number of planeswalkers you control.
[−2]: Create a 2/2 white Cat Soldier creature token named Ajani's Pridemate with ""Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.""
[0]: If you have at least 15 life more than your starting life total, exile Ajani, Strength of the Pride and each artifact and creature your opponents control.",mythic,,Legendary,Planeswalker,Ajani
2,Ancestral Blade,W,2.0,{1}{W},,,,"When Ancestral Blade enters the battlefield, create a 1/1 white Soldier creature token, then attach Ancestral Blade to it.
Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",uncommon,Equip,,Artifact,Equipment
3,Angel of Vitality,W,3.0,{2}{W},2.0,2.0,,"Flying
If you would gain life, you gain that much life plus 1 instead.
Angel of Vitality gets +2/+2 as long as you have 25 or more life.",uncommon,Flying,,Creature,Angel
4,Angelic Gift,W,2.0,{1}{W},,,,"Enchant creature
When Angelic Gift enters the battlefield, draw a card.
Enchanted creature has flying.",common,Enchant,,Enchantment,Aura
5,Apostle of Purifying Light,W,2.0,{1}{W},2.0,1.0,,"Protection from black (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything black.)
{2}: Exile target card from a graveyard.",uncommon,Protection,,Creature,"Human, Cleric"
6,Battalion Foot Soldier,W,3.0,{2}{W},2.0,2.0,,"When Battalion Foot Soldier enters the battlefield, you may search your library for any number of cards named Battalion Foot Soldier, reveal them, put them into your hand, then shuffle.",common,,,Creature,"Human, Soldier"
7,Bishop of Wings,W,2.0,{W}{W},1.0,4.0,,"Whenever an Angel enters the battlefield under your control, you gain 4 life.
Whenever an Angel you control dies, create a 1/1 white Spirit creature token with flying.",rare,,,Creature,"Human, Cleric"
8,Brought Back,W,2.0,{W}{W},,,,Choose up to two target permanent cards in your graveyard that were put there from the battlefield this turn. Return them to the battlefield tapped.,rare,,,Instant,
9,Cavalier of Dawn,W,5.0,{2}{W}{W}{W},4.0,6.0,,"Vigilance
When Cavalier of Dawn enters the battlefield, destroy up to one target nonland permanent. Its controller creates a 3/3 colorless Golem artifact creature token.
When Cavalier of Dawn dies, return target artifact or enchantment card from your graveyard to your hand.",mythic,Vigilance,,Creature,"Elemental, Knight"
