,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,"Adeline, Resplendent Cathar",W,3.0,{1}{W}{W},,4.0,,"Vigilance
Adeline, Resplendent Cathar's power is equal to the number of creatures you control.
Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.",rare,Vigilance,Legendary,Creature
1,Ambitious Farmhand,W,2.0,{1}{W},1.0,1.0,,"When Ambitious Farmhand enters the battlefield, you may search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
Coven — {1}{W}{W}: Transform Ambitious Farmhand. Activate only if you control three or more creatures with different powers.",uncommon,"Coven, Transform",,Creature
2,Seasoned Cathar,W,2.0,,3.0,3.0,,Lifelink,uncommon,Lifelink,,Creature
3,Beloved Beggar,W,2.0,{1}{W},0.0,4.0,,Disturb {4}{W}{W} (You may cast this card from your graveyard transformed for its disturb cost.),uncommon,"Disturb, Transform",,Creature
4,Generous Soul,W,2.0,,4.0,4.0,,"Flying, vigilance
If Generous Soul would be put into a graveyard from anywhere, exile it instead.",uncommon,"Flying, Vigilance",,Creature
5,Bereaved Survivor,W,3.0,{2}{W},2.0,1.0,,"When another creature you control dies, transform Bereaved Survivor.",uncommon,Transform,,Creature
6,Dauntless Avenger,W,3.0,,3.0,2.0,,"Whenever Dauntless Avenger attacks, return target creature card with mana value 2 or less from your graveyard to the battlefield tapped and attacking.",uncommon,,,Creature
7,Blessed Defiance,W,1.0,{W},,,,"Target creature you control gets +2/+0 and gains lifelink until end of turn. When that creature dies this turn, create a 1/1 white Spirit creature token with flying.",common,,,Instant
8,Borrowed Time,W,3.0,{2}{W},,,,"When Borrowed Time enters the battlefield, exile target nonland permanent an opponent controls until Borrowed Time leaves the battlefield.",uncommon,,,Enchantment
9,Brutal Cathar,W,3.0,{2}{W},2.0,2.0,,"When this creature enters the battlefield or transforms into Brutal Cathar, exile target creature an opponent controls until this creature leaves the battlefield.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",rare,Daybound,,Creature
10,Moonrage Brute,R,3.0,,3.0,3.0,,"First strike
Ward—Pay 3 life.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",rare,"First strike, Nightbound, Ward",,Creature
11,Candlegrove Witch,W,2.0,{1}{W},2.0,2.0,,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, Candlegrove Witch gains flying until end of turn.",common,Coven,,Creature
12,Candletrap,W,1.0,{W},,,,"Enchant creature
Enchanted creature has defender.
Prevent all combat damage that would be dealt by enchanted creature.
Coven — {2}{W}, Sacrifice Candletrap: Exile enchanted creature. Activate only if you control three or more creatures with different powers.",common,"Coven, Enchant",,Enchantment
13,Cathar Commando,W,2.0,{1}{W},3.0,1.0,,"Flash
{1}, Sacrifice Cathar Commando: Destroy target artifact or enchantment.",common,Flash,,Creature
14,Cathar's Call,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature has vigilance and ""At the beginning of your end step, create a 1/1 white Human creature token.""",uncommon,Enchant,,Enchantment
15,Celestus Sanctifier,W,3.0,{2}{W},3.0,2.0,,"If it's neither day nor night, it becomes day as Celestus Sanctifier enters the battlefield.
Whenever day becomes night or night becomes day, look at the top two cards of your library. Put one of them into your graveyard.",common,,,Creature
16,Chaplain of Alms,W,1.0,{W},1.0,1.0,,"First strike
Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",uncommon,"Disturb, First strike, Transform, Ward",,Creature
17,Chapel Shieldgeist,W,1.0,,2.0,1.0,,"Flying, first strike
Each creature you control has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
If Chapel Shieldgeist would be put into a graveyard from anywhere, exile it instead.",uncommon,"First strike, Flying, Ward",,Creature
18,Clarion Cathars,W,4.0,{3}{W},3.0,3.0,,"When Clarion Cathars enters the battlefield, create a 1/1 white Human creature token.",common,,,Creature
19,Curse of Silence,W,1.0,{W},,,,"Enchant player
As Curse of Silence enters the battlefield, choose a card name.
Spells with the chosen name enchanted player casts cost {2} more to cast.
Whenever enchanted player casts a spell with the chosen name, you may sacrifice Curse of Silence. If you do, draw a card.",rare,Enchant,,Enchantment
20,Duelcraft Trainer,W,4.0,{3}{W},3.0,3.0,,"First strike
Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, target creature you control gains double strike until end of turn.",uncommon,"Coven, First strike",,Creature
21,Enduring Angel,W,5.0,{2}{W}{W}{W},3.0,3.0,,"Flying, double strike
You have hexproof.
If your life total would be reduced to 0 or less, instead transform Enduring Angel and your life total becomes 3. Then if Enduring Angel didn't transform this way, you lose the game.",mythic,"Double strike, Flying, Transform",,Creature
22,Angelic Enforcer,W,5.0,,,,,"Flying
You have hexproof.
Angelic Enforcer's power and toughness are each equal to your life total.
Whenever Angelic Enforcer attacks, double your life total.",mythic,Flying,,Creature
23,Fateful Absence,W,2.0,{1}{W},,,,"Destroy target creature or planeswalker. Its controller investigates. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",rare,Investigate,,Instant
24,Flare of Faith,W,2.0,{1}{W},,,,"Target creature gets +2/+2 until end of turn. If it's a Human, instead it gets +3/+3 and gains indestructible until end of turn.",common,,,Instant
25,Gavony Dawnguard,W,3.0,{1}{W}{W},3.0,3.0,,"Ward {1}
If it's neither day nor night, it becomes day as Gavony Dawnguard enters the battlefield.
Whenever day becomes night or night becomes day, look at the top four cards of your library. You may reveal a creature card with mana value 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in any order.",uncommon,Ward,,Creature
26,Gavony Silversmith,W,4.0,{3}{W},2.0,3.0,,"When Gavony Silversmith enters the battlefield, put a +1/+1 counter on each of up to two target creatures.",common,,,Creature
27,Gavony Trapper,W,1.0,{W},0.0,2.0,,"{2}, {T}: Tap target creature.",common,,,Creature
28,Hedgewitch's Mask,W,1.0,{W},,,,"Equipped creature gets +1/+1.
Equipped creature can't be blocked by creatures with power 4 or greater.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",common,Equip,,Artifact
29,Homestead Courage,W,1.0,{W},,,,"Put a +1/+1 counter on target creature you control. It gains vigilance until end of turn.
Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",common,Flashback,,Sorcery
30,Intrepid Adversary,W,2.0,{1}{W},3.0,1.0,,"Lifelink
When Intrepid Adversary enters the battlefield, you may pay {1}{W} any number of times. When you pay this cost one or more times, put that many valor counters on Intrepid Adversary.
Creatures you control get +1/+1 for each valor counter on Intrepid Adversary.",mythic,Lifelink,,Creature
31,Loyal Gryff,W,3.0,{2}{W},2.0,2.0,,"Flash
Flying
When Loyal Gryff enters the battlefield, you may return another creature you control to its owner's hand.",uncommon,"Flash, Flying",,Creature
32,Lunarch Veteran,W,1.0,{W},1.0,1.0,,"Whenever another creature enters the battlefield under your control, you gain 1 life.
Disturb {1}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",common,"Disturb, Transform",,Creature
33,Luminous Phantom,W,1.0,,1.0,1.0,,"Flying
Whenever another creature you control leaves the battlefield, you gain 1 life.
If Luminous Phantom would be put into a graveyard from anywhere, exile it instead.",common,Flying,,Creature
34,Mourning Patrol,W,3.0,{2}{W},2.0,3.0,,"Vigilance
Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",common,"Disturb, Transform, Vigilance",,Creature
35,Morning Apparition,W,3.0,,2.0,1.0,,"Flying, vigilance
If Morning Apparition would be put into a graveyard from anywhere, exile it instead.",common,"Flying, Vigilance",,Creature
36,Odric's Outrider,W,4.0,{3}{W},2.0,4.0,,"Whenever Odric's Outrider or another creature you control dies, put a +1/+1 counter on target creature you control.",uncommon,,,Creature
37,Ritual Guardian,W,3.0,{2}{W},3.0,2.0,,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, Ritual Guardian gains lifelink until end of turn.",common,Coven,,Creature
38,Ritual of Hope,W,2.0,{1}{W},,,,"Creatures you control get +1/+1 until end of turn.
Coven — If you control three or more creatures with different powers, creatures you control get +2/+1 until end of turn instead.",uncommon,Coven,,Instant
39,Search Party Captain,W,4.0,{3}{W},2.0,2.0,,"This spell costs {1} less to cast for each creature you attacked with this turn.
When Search Party Captain enters the battlefield, draw a card.",common,,,Creature
40,Sigarda's Splendor,W,4.0,{2}{W}{W},,,,"As Sigarda's Splendor enters the battlefield, note your life total.
At the beginning of your upkeep, draw a card if your life total is greater than or equal to the last noted life total for Sigarda's Splendor. Then note your life total.
Whenever you cast a white spell, you gain 1 life.",rare,,,Enchantment
41,Sigardian Savior,W,5.0,{3}{W}{W},3.0,3.0,,"Flying
When Sigardian Savior enters the battlefield, if you cast it, return up to two target creature cards with mana value 2 or less from your graveyard to the battlefield.",mythic,Flying,,Creature
42,Soul-Guide Gryff,W,5.0,{4}{W},3.0,4.0,,"Flying
When Soul-Guide Gryff enters the battlefield, exile up to one target card from a graveyard.",common,Flying,,Creature
43,Sungold Barrage,W,3.0,{2}{W},,,,Destroy target creature with toughness 4 or greater.,common,,,Instant
