,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Deceiver of Form,C,7.0,{6}{C},8.0,8.0,,"({C} represents colorless mana.)
At the beginning of combat on your turn, reveal the top card of your library. If a creature card is revealed this way, you may have creatures you control other than Deceiver of Form become copies of that card until end of turn. You may put that card on the bottom of your library.",rare,,,Creature,Eldrazi
1,Eldrazi Mimic,C,2.0,{2},2.0,1.0,,"Whenever another colorless creature enters the battlefield under your control, you may change Eldrazi Mimic's base power and toughness to that creature's power and toughness until end of turn.",rare,,,Creature,Eldrazi
2,Endbringer,C,6.0,{5}{C},5.0,5.0,,"Untap Endbringer during each other player's untap step.
{T}: Endbringer deals 1 damage to any target.
{C}, {T}: Target creature can't attack or block this turn.
{C}{C}, {T}: Draw a card.",rare,,,Creature,Eldrazi
3,"Kozilek, the Great Distortion",C,10.0,{8}{C}{C},12.0,12.0,,"When you cast this spell, if you have fewer than seven cards in hand, draw cards equal to the difference.
Menace
Discard a card with mana value X: Counter target spell with mana value X.",mythic,Menace,Legendary,Creature,Eldrazi
4,Kozilek's Pathfinder,C,6.0,{6},5.0,5.0,,{C}: Target creature can't block Kozilek's Pathfinder this turn. ({C} represents colorless mana.),common,,,Creature,Eldrazi
5,Matter Reshaper,C,3.0,{2}{C},3.0,2.0,,"({C} represents colorless mana.)
When Matter Reshaper dies, reveal the top card of your library. You may put that card onto the battlefield if it's a permanent card with mana value 3 or less. Otherwise, put that card into your hand.",rare,,,Creature,Eldrazi
6,Reality Smasher,C,5.0,{4}{C},5.0,5.0,,"({C} represents colorless mana.)
Trample, haste
Whenever Reality Smasher becomes the target of a spell an opponent controls, counter that spell unless its controller discards a card.",rare,"Haste, Trample",,Creature,Eldrazi
7,Spatial Contortion,C,2.0,{1}{C},,,,"({C} represents colorless mana.)
Target creature gets +3/-3 until end of turn.",uncommon,,,Instant,
8,Thought-Knot Seer,C,4.0,{3}{C},4.0,4.0,,"({C} represents colorless mana.)
When Thought-Knot Seer enters the battlefield, target opponent reveals their hand. You choose a nonland card from it and exile that card.
When Thought-Knot Seer leaves the battlefield, target opponent draws a card.",rare,,,Creature,Eldrazi
9,Walker of the Wastes,C,5.0,{4}{C},4.0,4.0,,"({C} represents colorless mana.)
Trample
Walker of the Wastes gets +1/+1 for each land you control named Wastes.",uncommon,Trample,,Creature,Eldrazi
10,Warden of Geometries,C,4.0,{4},2.0,3.0,,"Vigilance
{T}: Add {C}. ({C} represents colorless mana.)",common,Vigilance,,Creature,"Eldrazi, Drone"
11,Warping Wail,C,2.0,{1}{C},,,,"({C} represents colorless mana.)
Choose one —
• Exile target creature with power or toughness 1 or less.
• Counter target sorcery spell.
• Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""",uncommon,,,Instant,
12,Eldrazi Displacer,C,3.0,{2}{W},3.0,3.0,,"Devoid (This card has no color.)
{2}{C}: Exile another target creature, then return it to the battlefield tapped under its owner's control. ({C} represents colorless mana.)",rare,Devoid,,Creature,Eldrazi
13,Affa Protector,W,3.0,{2}{W},1.0,4.0,,Vigilance,common,Vigilance,,Creature,"Human, Soldier, Ally"
14,Allied Reinforcements,W,4.0,{3}{W},,,,Create two 2/2 white Knight Ally creature tokens.,uncommon,,,Sorcery,
15,Call the Gatewatch,W,3.0,{2}{W},,,,"Search your library for a planeswalker card, reveal it, put it into your hand, then shuffle.",rare,,,Sorcery,
16,Dazzling Reflection,W,2.0,{1}{W},,,,"You gain life equal to target creature's power. The next time that creature would deal damage this turn, prevent that damage.",common,,,Instant,
17,Expedition Raptor,W,5.0,{3}{W}{W},2.0,2.0,,"Flying
When Expedition Raptor enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",common,"Flying, Support",,Creature,Bird
18,General Tazri,W,5.0,{4}{W},3.0,4.0,,"When General Tazri enters the battlefield, you may search your library for an Ally creature card, reveal it, put it into your hand, then shuffle.
{W}{U}{B}{R}{G}: Ally creatures you control get +X/+X until end of turn, where X is the number of colors among those creatures.",mythic,,Legendary,Creature,"Human, Ally"
19,Immolating Glare,W,2.0,{1}{W},,,,Destroy target attacking creature.,uncommon,,,Instant,
20,Iona's Blessing,W,4.0,{3}{W},,,,"Enchant creature
Enchanted creature gets +2/+2, has vigilance, and can block an additional creature each combat.",uncommon,Enchant,,Enchantment,Aura
21,Isolation Zone,W,4.0,{2}{W}{W},,,,"When Isolation Zone enters the battlefield, exile target creature or enchantment an opponent controls until Isolation Zone leaves the battlefield. (That permanent returns under its owner's control.)",common,,,Enchantment,
22,Kor Scythemaster,W,3.0,{2}{W},3.0,1.0,,Kor Scythemaster has first strike as long as it's attacking.,common,,,Creature,"Kor, Soldier, Ally"
23,Kor Sky Climber,W,3.0,{2}{W},3.0,2.0,,{1}{W}: Kor Sky Climber gains flying until end of turn.,common,,,Creature,"Kor, Soldier, Ally"
24,"Linvala, the Preserver",W,6.0,{4}{W}{W},5.0,5.0,,"Flying
When Linvala, the Preserver enters the battlefield, if an opponent has more life than you, you gain 5 life.
When Linvala enters the battlefield, if an opponent controls more creatures than you, create a 3/3 white Angel creature token with flying.",mythic,Flying,Legendary,Creature,Angel
25,Make a Stand,W,3.0,{2}{W},,,,"Creatures you control get +1/+0 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",uncommon,,,Instant,
26,Makindi Aeronaut,W,2.0,{1}{W},1.0,3.0,,Flying,common,Flying,,Creature,"Kor, Scout, Ally"
27,Mighty Leap,W,2.0,{1}{W},,,,Target creature gets +2/+2 and gains flying until end of turn.,common,,,Instant,
28,Munda's Vanguard,W,5.0,{4}{W},3.0,3.0,,"Cohort — {T}, Tap an untapped Ally you control: Put a +1/+1 counter on each creature you control.",rare,Cohort,,Creature,"Kor, Knight, Ally"
29,Oath of Gideon,W,3.0,{2}{W},,,,"When Oath of Gideon enters the battlefield, create two 1/1 white Kor Ally creature tokens.
Each planeswalker you control enters the battlefield with an additional loyalty counter on it.",rare,,Legendary,Enchantment,
30,Ondu War Cleric,W,2.0,{1}{W},2.0,2.0,,"Cohort — {T}, Tap an untapped Ally you control: You gain 2 life.",common,Cohort,,Creature,"Human, Cleric, Ally"
31,Relief Captain,W,4.0,{2}{W}{W},3.0,2.0,,"When Relief Captain enters the battlefield, support 3. (Put a +1/+1 counter on each of up to three other target creatures.)",uncommon,Support,,Creature,"Kor, Knight, Ally"
32,Searing Light,W,1.0,{W},,,,Destroy target attacking or blocking creature with power 2 or less.,common,,,Instant,
33,Shoulder to Shoulder,W,3.0,{2}{W},,,,"Support 2. (Put a +1/+1 counter on each of up to two target creatures.)
Draw a card.",common,Support,,Sorcery,
34,Spawnbinder Mage,W,4.0,{3}{W},2.0,4.0,,"Cohort — {T}, Tap an untapped Ally you control: Tap target creature.",common,Cohort,,Creature,"Human, Wizard, Ally"
35,Steppe Glider,W,5.0,{4}{W},2.0,4.0,,"Flying, vigilance
{1}{W}: Target creature with a +1/+1 counter on it gains flying and vigilance until end of turn.",uncommon,"Flying, Vigilance",,Creature,Elemental
36,Stone Haven Outfitter,W,2.0,{1}{W},2.0,2.0,,"Equipped creatures you control get +1/+1.
Whenever an equipped creature you control dies, draw a card.",rare,,,Creature,"Kor, Artificer, Ally"
37,Stoneforge Acolyte,W,1.0,{W},1.0,2.0,,"Cohort — {T}, Tap an untapped Ally you control: Look at the top four cards of your library. You may reveal an Equipment card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",uncommon,Cohort,,Creature,"Kor, Artificer, Ally"
38,Wall of Resurgence,W,3.0,{2}{W},0.0,6.0,,"Defender
When Wall of Resurgence enters the battlefield, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",uncommon,Defender,,Creature,Wall
39,Abstruse Interference,C,3.0,{2}{U},,,,"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)",common,Devoid,,Instant,
40,Blinding Drone,C,2.0,{1}{U},1.0,3.0,,"Devoid (This card has no color.)
{C}, {T}: Tap target creature. ({C} represents colorless mana.)",common,Devoid,,Creature,"Eldrazi, Drone"
41,Cultivator Drone,C,3.0,{2}{U},2.0,3.0,,"Devoid (This card has no color.)
{T}: Add {C}. Spend this mana only to cast a colorless spell, activate an ability of a colorless permanent, or pay a cost that contains {C}. ({C} represents colorless mana.)",common,Devoid,,Creature,"Eldrazi, Drone"
42,Deepfathom Skulker,C,6.0,{5}{U},4.0,4.0,,"Devoid (This card has no color.)
Whenever a creature you control deals combat damage to a player, you may draw a card.
{3}{C}: Target creature can't be blocked this turn. ({C} represents colorless mana.)",rare,Devoid,,Creature,Eldrazi
43,Dimensional Infiltrator,C,2.0,{1}{U},2.0,1.0,,"Devoid (This card has no color.)
Flash
Flying
{1}{C}: Target opponent exiles the top card of their library. If it's a land card, you may return Dimensional Infiltrator to its owner's hand. ({C} represents colorless mana.)",rare,"Devoid, Flash, Flying",,Creature,Eldrazi
44,Gravity Negator,C,4.0,{3}{U},2.0,3.0,,"Devoid (This card has no color.)
Flying
Whenever Gravity Negator attacks, you may pay {C}. If you do, another target creature gains flying until end of turn. ({C} represents colorless mana.)",common,"Devoid, Flying",,Creature,"Eldrazi, Drone"
