,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Angel of Grace,W,5.0,{3}{W}{W},5.0,4.0,,"Flash
Flying
When Angel of Grace enters the battlefield, until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.
{4}{W}{W}, Exile Angel of Grace from your graveyard: Your life total becomes 10.",mythic,"Flash, Flying",,Creature,Angel
1,Angelic Exaltation,W,4.0,{3}{W},,,,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control.",uncommon,,,Enchantment,
2,Archway Angel,W,6.0,{5}{W},3.0,4.0,,"Flying
When Archway Angel enters the battlefield, you gain 2 life for each Gate you control.",uncommon,Flying,,Creature,Angel
3,Arrester's Zeal,W,1.0,{W},,,,"Target creature gets +2/+2 until end of turn.
Addendum — If you cast this spell during your main phase, that creature gains flying until end of turn.",common,Addendum,,Instant,
4,Bring to Trial,W,3.0,{2}{W},,,,Exile target creature with power 4 or greater.,common,,,Sorcery,
5,Civic Stalwart,W,4.0,{3}{W},3.0,3.0,,"When Civic Stalwart enters the battlefield, creatures you control get +1/+1 until end of turn.",common,,,Creature,"Elephant, Soldier"
6,Concordia Pegasus,W,2.0,{1}{W},1.0,3.0,,Flying,common,Flying,,Creature,Pegasus
7,Expose to Daylight,W,3.0,{2}{W},,,,Destroy target artifact or enchantment. Scry 1.,common,Scry,,Instant,
8,Forbidding Spirit,W,3.0,{1}{W}{W},3.0,3.0,,"When Forbidding Spirit enters the battlefield, until your next turn, creatures can't attack you or planeswalkers you control unless their controller pays {2} for each of those creatures.",uncommon,,,Creature,"Spirit, Cleric"
9,Haazda Officer,W,3.0,{2}{W},3.0,2.0,,"When Haazda Officer enters the battlefield, target creature you control gets +1/+1 until end of turn.",common,,,Creature,"Human, Soldier"
10,Hero of Precinct One,W,2.0,{1}{W},2.0,2.0,,"Whenever you cast a multicolored spell, create a 1/1 white Human creature token.",rare,,,Creature,"Human, Warrior"
11,Impassioned Orator,W,2.0,{1}{W},2.0,2.0,,"Whenever another creature enters the battlefield under your control, you gain 1 life.",common,,,Creature,"Human, Cleric"
12,Justiciar's Portal,W,2.0,{1}{W},,,,"Exile target creature you control, then return that card to the battlefield under its owner's control. It gains first strike until end of turn.",common,,,Instant,
13,Knight of Sorrows,W,5.0,{4}{W},3.0,3.0,,"Knight of Sorrows can block an additional creature each combat.
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)",common,Afterlife,,Creature,"Human, Knight"
14,Lumbering Battlement,W,5.0,{4}{W},4.0,5.0,,"Vigilance
When Lumbering Battlement enters the battlefield, exile any number of other nontoken creatures you control until it leaves the battlefield.
Lumbering Battlement gets +2/+2 for each card exiled with it.",rare,Vigilance,,Creature,Beast
15,Ministrant of Obligation,W,3.0,{2}{W},2.0,1.0,,"Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)",uncommon,Afterlife,,Creature,"Human, Cleric"
16,Prowling Caracal,W,2.0,{1}{W},3.0,1.0,,,common,,,Creature,Cat
17,Rally to Battle,W,4.0,{3}{W},,,,Creatures you control get +1/+3 until end of turn. Untap them.,uncommon,,,Instant,
18,Resolute Watchdog,W,1.0,{W},1.0,3.0,,"Defender
{1}, Sacrifice Resolute Watchdog: Target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",uncommon,Defender,,Creature,Dog
19,Sentinel's Mark,W,2.0,{1}{W},,,,"Flash
Enchant creature
Enchanted creature gets +1/+2 and has vigilance.
Addendum — When Sentinel's Mark enters the battlefield, if you cast it during your main phase, enchanted creature gains lifelink until end of turn.",uncommon,"Addendum, Enchant, Flash",,Enchantment,Aura
20,Sky Tether,W,1.0,{W},,,,"Enchant creature
Enchanted creature has defender and loses flying.",uncommon,Enchant,,Enchantment,Aura
21,Smothering Tithe,W,4.0,{3}{W},,,,"Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",rare,,,Enchantment,
22,Spirit of the Spires,W,4.0,{3}{W},2.0,4.0,,"Flying
Other creatures you control with flying get +0/+1.",uncommon,Flying,,Creature,Spirit
