,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,Angelic Observer,W,6.0,{5}{W},3.0,3.0,,"This spell costs {1} less to cast for each Citizen you control.
Flying",uncommon,Flying,,Creature
1,Backup Agent,W,2.0,{1}{W},1.0,1.0,,"When Backup Agent enters the battlefield, put a +1/+1 counter on target creature.",common,,,Creature
2,Ballroom Brawlers,W,5.0,{3}{W}{W},3.0,5.0,,"Whenever Ballroom Brawlers attacks, Ballroom Brawlers and up to one other target creature you control both gain your choice of first strike or lifelink until end of turn.",uncommon,,,Creature
3,Boon of Safety,W,1.0,{W},,,,"Put a shield counter on target creature. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
Scry 1.",common,Scry,,Instant
4,Brokers Initiate,W,1.0,{W},0.0,4.0,,{4}{G/U}: Brokers Initiate has base power and toughness 5/5 until end of turn.,common,,,Creature
5,Buy Your Silence,W,5.0,{4}{W},,,,"Exile target nonland permanent. Its controller creates a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",common,,,Sorcery
6,Celebrity Fencer,W,4.0,{3}{W},3.0,2.0,,"Alliance — Whenever another creature enters the battlefield under your control, put a +1/+1 counter on Celebrity Fencer.",common,Alliance,,Creature
7,Citizen's Crowbar,W,2.0,{1}{W},,,,"When Citizen's Crowbar enters the battlefield, create a 1/1 green and white Citizen creature token, then attach Citizen's Crowbar to it.
Equipped creature gets +1/+1 and has ""{W}, {T}, Sacrifice Citizen's Crowbar: Destroy target artifact or enchantment.""
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",uncommon,Equip,,Artifact
8,Dapper Shieldmate,W,4.0,{3}{W},2.0,2.0,,"Dapper Shieldmate enters the battlefield with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
As long as it's your turn, Dapper Shieldmate gets +2/+0.",common,,,Creature
9,Depopulate,W,4.0,{2}{W}{W},,,,Each player who controls a multicolored creature draws a card. Then destroy all creatures.,rare,,,Sorcery
10,Elspeth Resplendent,W,5.0,{3}{W}{W},,,5.0,"[+1]: Choose up to one target creature. Put a +1/+1 counter and a counter from among flying, first strike, lifelink, or vigilance on it.
[−3]: Look at the top seven cards of your library. You may put a permanent card with mana value 3 or less from among them onto the battlefield with a shield counter on it. Put the rest on the bottom of your library in a random order.
[−7]: Create five 3/3 white Angel creature tokens with flying.",mythic,,Legendary,Planeswalker
