,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,Environmental Sciences,,2.0,{2},,,,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle. You gain 2 life.",common,,,Sorcery
1,Expanded Anatomy,,3.0,{3},,,,Put two +1/+1 counters on target creature. It gains vigilance until end of turn.,common,,,Sorcery
2,Introduction to Annihilation,,5.0,{5},,,,Exile target nonland permanent. Its controller draws a card.,common,,,Sorcery
3,Introduction to Prophecy,,3.0,{3},,,,"Scry 2, then draw a card.",common,Scry,,Sorcery
4,Mascot Exhibition,,7.0,{7},,,,"Create a 2/1 white and black Inkling creature token with flying, a 3/2 red and white Spirit creature token, and a 4/4 blue and red Elemental creature token.",mythic,,,Sorcery
5,Wandering Archaic,,5.0,{5},4.0,4.0,,"Whenever an opponent casts an instant or sorcery spell, they may pay {2}. If they don't, you may copy that spell. You may choose new targets for the copy.",rare,,,Creature
6,Explore the Vastlands,,3.0,{3},,,,Each player looks at the top five cards of their library and may reveal a land card and/or an instant or sorcery card from among them. Each player puts the cards they revealed this way into their hand and the rest on the bottom of their library in a random order. Each player gains 3 life.,rare,,,Sorcery
7,Academic Probation,W,2.0,{1}{W},,,,"Choose one —
• Choose a nonland card name. Opponents can't cast spells with the chosen name until your next turn.
• Choose target nonland permanent. Until your next turn, it can't attack or block, and its activated abilities can't be activated.",rare,,,Sorcery
8,Ageless Guardian,W,2.0,{1}{W},1.0,4.0,,,common,,,Creature
9,Beaming Defiance,W,2.0,{1}{W},,,,Target creature you control gets +2/+2 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),common,,,Instant
10,Clever Lumimancer,W,1.0,{W},0.0,1.0,,"Magecraft — Whenever you cast or copy an instant or sorcery spell, Clever Lumimancer gets +2/+2 until end of turn.",uncommon,Magecraft,,Creature
