,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,Adamant Will,W,2.0,{1}{W},,,,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",common,,,Instant
1,Angelic Quartermaster,W,5.0,{3}{W}{W},3.0,3.0,,"Flying
When Angelic Quartermaster enters the battlefield, put a +1/+1 counter on each of up to two other target creatures.",uncommon,Flying,,Creature
2,Arm the Cathars,W,3.0,{1}{W}{W},,,,"Until end of turn, target creature gets +3/+3, up to one other target creature gets +2/+2, and up to one other target creature gets +1/+1. Those creatures gain vigilance until end of turn.",uncommon,,,Sorcery
3,Bride's Gown,W,2.0,{1}{W},,,,"Equipped creature gets +2/+0. It gets an additional +0/+2 and has first strike as long as an Equipment named Groom's Finery is attached to a creature you control.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",uncommon,Equip,,Artifact
4,By Invitation Only,W,5.0,{3}{W}{W},,,,Choose a number between 0 and 13. Each player sacrifices that many creatures.,rare,,,Sorcery
5,Cemetery Protector,W,4.0,{2}{W}{W},3.0,4.0,,"Flash
When Cemetery Protector enters the battlefield, exile a card from a graveyard.
Whenever you play a land or cast a spell, if it shares a card type with the exiled card, create a 1/1 white Human creature token.",mythic,Flash,,Creature
6,Circle of Confinement,W,2.0,{1}{W},,,,"When Circle of Confinement enters the battlefield, exile target creature an opponent controls with mana value 3 or less until Circle of Confinement leaves the battlefield.
Whenever an opponent casts a Vampire spell with the same name as a card exiled with Circle of Confinement, you gain 2 life.",uncommon,,,Enchantment
7,Dawnhart Geist,W,2.0,{1}{W},1.0,3.0,,"Whenever you cast an enchantment spell, you gain 2 life.",uncommon,,,Creature
8,Distracting Geist,W,3.0,{2}{W},2.0,1.0,,"Whenever Distracting Geist attacks, tap target creature defending player controls.
Disturb {4}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",uncommon,"Disturb, Transform",,Creature
9,Clever Distraction,W,3.0,,,,,"Enchant creature
Enchanted creature has ""Whenever this creature attacks, tap target creature defending player controls.""
If Clever Distraction would be put into a graveyard from anywhere, exile it instead.",uncommon,Enchant,,Enchantment
10,Drogskol Infantry,W,2.0,{1}{W},2.0,2.0,,Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.),common,"Disturb, Transform",,Creature
11,Drogskol Armaments,W,2.0,,,,,"Enchant creature
Enchanted creature gets +2/+2.
If Drogskol Armaments would be put into a graveyard from anywhere, exile it instead.",common,Enchant,,Enchantment
12,Estwald Shieldbasher,W,4.0,{3}{W},4.0,2.0,,"Whenever Estwald Shieldbasher attacks, you may pay {1}. If you do, it gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",common,,,Creature
13,Faithbound Judge,W,3.0,{1}{W}{W},4.0,4.0,,"Defender, flying, vigilance
At the beginning of your upkeep, if Faithbound Judge has two or fewer judgment counters on it, put a judgment counter on it.
As long as Faithbound Judge has three or more judgment counters on it, it can attack as though it didn't have defender.
Disturb {5}{W}{W}",mythic,"Defender, Disturb, Flying, Vigilance",,Creature
14,Sinner's Judgment,W,3.0,,,,,"Enchant player
At the beginning of your upkeep, put a judgment counter on Sinner's Judgment. Then if there are three or more judgment counters on it, enchanted player loses the game.
If Sinner's Judgment would be put into a graveyard from anywhere, exile it instead.",mythic,Enchant,,Enchantment
15,Fierce Retribution,W,2.0,{1}{W},,,,"Cleave {5}{W} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Destroy target [attacking] creature.",common,Cleave,,Instant
