,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,Adanto Vanguard,W,2.0,{1}{W},1.0,1.0,,"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",uncommon,,,Creature
1,Ashes of the Abhorrent,W,2.0,{1}{W},,,,"Players can't cast spells from graveyards or activate abilities of cards in graveyards.
Whenever a creature dies, you gain 1 life.",rare,,,Enchantment
2,Axis of Mortality,W,6.0,{4}{W}{W},,,,"At the beginning of your upkeep, you may have two target players exchange life totals.",mythic,,,Enchantment
3,Bellowing Aegisaur,W,6.0,{5}{W},3.0,5.0,,"Enrage — Whenever Bellowing Aegisaur is dealt damage, put a +1/+1 counter on each other creature you control.",uncommon,Enrage,,Creature
4,Bishop of Rebirth,W,5.0,{3}{W}{W},3.0,4.0,,"Vigilance
Whenever Bishop of Rebirth attacks, you may return target creature card with mana value 3 or less from your graveyard to the battlefield.",rare,Vigilance,,Creature
5,Bishop's Soldier,W,2.0,{1}{W},2.0,2.0,,Lifelink,common,Lifelink,,Creature
6,Bright Reprisal,W,5.0,{4}{W},,,,"Destroy target attacking creature.
Draw a card.",uncommon,,,Instant
7,Demystify,W,1.0,{W},,,,Destroy target enchantment.,common,,,Instant
8,Duskborne Skymarcher,W,1.0,{W},1.0,1.0,,"Flying
{W}, {T}: Target attacking Vampire gets +1/+1 until end of turn.",uncommon,Flying,,Creature
9,Emissary of Sunrise,W,3.0,{2}{W},2.0,1.0,,"First strike
When Emissary of Sunrise enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",uncommon,"Explore, First strike",,Creature
10,Encampment Keeper,W,1.0,{W},1.0,1.0,,"First strike
{7}{W}, {T}, Sacrifice Encampment Keeper: Creatures you control get +2/+2 until end of turn.",common,First strike,,Creature
11,Glorifier of Dusk,W,5.0,{3}{W}{W},4.0,4.0,,"Pay 2 life: Glorifier of Dusk gains flying until end of turn.
Pay 2 life: Glorifier of Dusk gains vigilance until end of turn.",uncommon,,,Creature
12,Goring Ceratops,W,7.0,{5}{W}{W},3.0,3.0,,"Double strike
Whenever Goring Ceratops attacks, other creatures you control gain double strike until end of turn.",rare,Double strike,,Creature
13,Imperial Aerosaur,W,4.0,{3}{W},3.0,3.0,,"Flying
When Imperial Aerosaur enters the battlefield, another target creature you control gets +1/+1 and gains flying until end of turn.",uncommon,Flying,,Creature
14,Imperial Lancer,W,1.0,{W},1.0,1.0,,Imperial Lancer has double strike as long as you control a Dinosaur.,uncommon,,,Creature
15,Inspiring Cleric,W,3.0,{2}{W},3.0,2.0,,"When Inspiring Cleric enters the battlefield, you gain 4 life.",uncommon,,,Creature
16,Ixalan's Binding,W,4.0,{3}{W},,,,"When Ixalan's Binding enters the battlefield, exile target nonland permanent an opponent controls until Ixalan's Binding leaves the battlefield.
Your opponents can't cast spells with the same name as the exiled card.",uncommon,,,Enchantment
17,Kinjalli's Caller,W,1.0,{W},0.0,3.0,,Dinosaur spells you cast cost {1} less to cast.,common,,,Creature
18,Kinjalli's Sunwing,W,3.0,{2}{W},2.0,3.0,,"Flying
Creatures your opponents control enter the battlefield tapped.",rare,Flying,,Creature
19,Legion Conquistador,W,3.0,{2}{W},2.0,2.0,,"When Legion Conquistador enters the battlefield, you may search your library for any number of cards named Legion Conquistador, reveal them, put them into your hand, then shuffle.",common,,,Creature
20,Legion's Judgment,W,3.0,{2}{W},,,,Destroy target creature with power 4 or greater.,common,,,Sorcery
21,Legion's Landing,W,1.0,{W},,,,"When Legion's Landing enters the battlefield, create a 1/1 white Vampire creature token with lifelink.
When you attack with three or more creatures, transform Legion's Landing.",rare,Transform,Legendary,Enchantment
22,"Adanto, the First Fort",L,1.0,,,,,"(Transforms from Legion's Landing.)
{T}: Add {W}.
{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink.",rare,Transform,Legendary,Land
23,Looming Altisaur,W,4.0,{3}{W},1.0,7.0,,,common,,,Creature
24,"Mavren Fein, Dusk Apostle",W,3.0,{2}{W},2.0,2.0,,"Whenever one or more nontoken Vampires you control attack, create a 1/1 white Vampire creature token with lifelink.",rare,,Legendary,Creature
25,Paladin of the Bloodstained,W,4.0,{3}{W},3.0,2.0,,"When Paladin of the Bloodstained enters the battlefield, create a 1/1 white Vampire creature token with lifelink.",common,,,Creature
26,Pious Interdiction,W,4.0,{3}{W},,,,"Enchant creature
When Pious Interdiction enters the battlefield, you gain 2 life.
Enchanted creature can't attack or block.",common,Enchant,,Enchantment
27,Priest of the Wakening Sun,W,1.0,{W},1.0,1.0,,"At the beginning of your upkeep, you may reveal a Dinosaur card from your hand. If you do, you gain 2 life.
{3}{W}{W}, Sacrifice Priest of the Wakening Sun: Search your library for a Dinosaur card, reveal it, put it into your hand, then shuffle.",rare,,,Creature
28,Pterodon Knight,W,4.0,{3}{W},3.0,3.0,,Pterodon Knight has flying as long as you control a Dinosaur.,common,,,Creature
29,Queen's Commission,W,3.0,{2}{W},,,,Create two 1/1 white Vampire creature tokens with lifelink.,common,,,Sorcery
30,Rallying Roar,W,3.0,{2}{W},,,,Creatures you control get +1/+1 until end of turn. Untap them.,uncommon,,,Instant
31,Raptor Companion,W,2.0,{1}{W},3.0,1.0,,,common,,,Creature
32,Ritual of Rejuvenation,W,3.0,{2}{W},,,,"You gain 4 life.
Draw a card.",common,,,Instant
33,Sanguine Sacrament,W,2.0,{X}{W}{W},,,,You gain twice X life. Put Sanguine Sacrament on the bottom of its owner's library.,rare,,,Instant
34,Settle the Wreckage,W,4.0,{2}{W}{W},,,,"Exile all attacking creatures target player controls. That player may search their library for that many basic land cards, put those cards onto the battlefield tapped, then shuffle.",rare,,,Instant
35,Sheltering Light,W,1.0,{W},,,,"Target creature gains indestructible until end of turn. Scry 1. (Damage and effects that say ""destroy"" don't destroy the creature.)",uncommon,Scry,,Instant
36,Shining Aerosaur,W,5.0,{4}{W},3.0,4.0,,Flying,common,Flying,,Creature
37,Skyblade of the Legion,W,2.0,{1}{W},1.0,3.0,,Flying,common,Flying,,Creature
38,Slash of Talons,W,1.0,{W},,,,Slash of Talons deals 2 damage to target attacking or blocking creature.,common,,,Instant
