,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Allied Assault,W,3.0,{2}{W},,,,"Up to two target creatures each get +X/+X until end of turn, where X is the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",uncommon,,,Instant,
1,Angel of Destiny,W,5.0,{3}{W}{W},2.0,6.0,,"Flying, double strike
Whenever a creature you control deals combat damage to a player, you and that player each gain that much life.
At the beginning of your end step, if you have at least 15 life more than your starting life total, each player Angel of Destiny attacked this turn loses the game.",mythic,"Double strike, Flying",,Creature,"Angel, Cleric"
2,Angelheart Protector,W,3.0,{2}{W},3.0,2.0,,"When Angelheart Protector enters the battlefield, target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",common,,,Creature,"Human, Cleric"
3,Archon of Emeria,W,3.0,{2}{W},2.0,3.0,,"Flying
Each player can't cast more than one spell each turn.
Nonbasic lands your opponents control enter the battlefield tapped.",rare,Flying,,Creature,Archon
4,Archpriest of Iona,W,1.0,{W},,2.0,,"Archpriest of Iona's power is equal to the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)
At the beginning of combat on your turn, if you have a full party, target creature gets +1/+1 and gains flying until end of turn.",rare,,,Creature,"Human, Cleric"
5,Attended Healer,W,4.0,{3}{W},2.0,3.0,,"Whenever you gain life for the first time each turn, create a 1/1 white Cat creature token.
{2}{W}: Another target Cleric gains lifelink until end of turn.",uncommon,,,Creature,"Kor, Cleric"
6,Canyon Jerboa,W,3.0,{2}{W},1.0,2.0,,"Landfall — Whenever a land enters the battlefield under your control, creatures you control get +1/+1 until end of turn.",uncommon,Landfall,,Creature,Mouse
7,Cliffhaven Sell-Sword,W,2.0,{1}{W},3.0,1.0,,,common,,,Creature,"Kor, Warrior"
8,Dauntless Unity,W,2.0,{1}{W},,,,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)
Creatures you control get +1/+1 until end of turn. If this spell was kicked, those creatures get +2/+1 until end of turn instead.",common,Kicker,,Instant,
9,Disenchant,W,2.0,{1}{W},,,,Destroy target artifact or enchantment.,common,,,Instant,
10,Emeria Captain,W,4.0,{3}{W},1.0,1.0,,"Flying, vigilance
When Emeria Captain enters the battlefield, put a +1/+1 counter on it for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",uncommon,"Flying, Vigilance",,Creature,"Angel, Warrior"
11,Emeria's Call,W,7.0,{4}{W}{W}{W},,,,Create two 4/4 white Angel Warrior creature tokens with flying. Non-Angel creatures you control gain indestructible until your next turn.,mythic,,,Sorcery,
12,"Emeria, Shattered Skyclave",L,0.0,,,,,"As Emeria, Shattered Skyclave enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.
{T}: Add {W}.",mythic,,,Land,
13,Expedition Healer,W,2.0,{1}{W},2.0,2.0,,"Vigilance
Expedition Healer has lifelink as long as you control another Cleric.",common,Vigilance,,Creature,"Kor, Cleric"
14,Farsight Adept,W,3.0,{2}{W},3.0,3.0,,"When Farsight Adept enters the battlefield, you and target opponent each draw a card.",common,,,Creature,"Kor, Wizard"
15,Fearless Fledgling,W,2.0,{1}{W},1.0,1.0,,"Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on Fearless Fledgling. It gains flying until end of turn.",uncommon,Landfall,,Creature,Griffin
16,Felidar Retreat,W,4.0,{3}{W},,,,"Landfall — Whenever a land enters the battlefield under your control, choose one —
• Create a 2/2 white Cat Beast creature token.
• Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.",rare,Landfall,,Enchantment,
17,Journey to Oblivion,W,5.0,{4}{W},,,,"This spell costs {1} less to cast for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)
When Journey to Oblivion enters the battlefield, exile target nonland permanent an opponent controls until Journey to Oblivion leaves the battlefield.",uncommon,,,Enchantment,
18,Kabira Outrider,W,4.0,{3}{W},3.0,3.0,,"When Kabira Outrider enters the battlefield, target creature gets +1/+1 until end of turn for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",common,,,Creature,"Human, Warrior"
19,Kabira Takedown,W,2.0,{1}{W},,,,Kabira Takedown deals damage equal to the number of creatures you control to target creature or planeswalker.,uncommon,,,Instant,
20,Kabira Plateau,L,0.0,,,,,"Kabira Plateau enters the battlefield tapped.
{T}: Add {W}.",uncommon,,,Land,
21,Kitesail Cleric,W,1.0,{W},1.0,1.0,,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Flying
When Kitesail Cleric enters the battlefield, if it was kicked, tap up to two target creatures.",uncommon,"Flying, Kicker",,Creature,"Kor, Cleric"
22,Kor Blademaster,W,2.0,{1}{W},1.0,1.0,,"Double strike
Equipped Warriors you control have double strike.",uncommon,Double strike,,Creature,"Kor, Warrior"
23,Kor Celebrant,W,3.0,{2}{W},1.0,4.0,,"Whenever Kor Celebrant or another creature enters the battlefield under your control, you gain 1 life.",common,,,Creature,"Kor, Cleric"
24,Legion Angel,W,4.0,{2}{W}{W},4.0,3.0,,"Flying
When Legion Angel enters the battlefield, you may reveal a card you own named Legion Angel from outside the game and put it into your hand.",rare,Flying,,Creature,"Angel, Warrior"
25,Luminarch Aspirant,W,2.0,{1}{W},1.0,1.0,,"At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.",rare,,,Creature,"Human, Cleric"
26,Makindi Ox,W,5.0,{4}{W},4.0,4.0,,"Landfall — Whenever a land enters the battlefield under your control, tap target creature an opponent controls.",common,Landfall,,Creature,Ox
27,Makindi Stampede,W,5.0,{3}{W}{W},,,,Creatures you control get +2/+2 until end of turn.,uncommon,,,Sorcery,
28,Makindi Mesas,L,0.0,,,,,"Makindi Mesas enters the battlefield tapped.
{T}: Add {W}.",uncommon,,,Land,
29,Maul of the Skyclaves,W,3.0,{2}{W},,,,"When Maul of the Skyclaves enters the battlefield, attach it to target creature you control.
Equipped creature gets +2/+2 and has flying and first strike.
Equip {2}{W}{W}",rare,Equip,,Artifact,Equipment
30,Mesa Lynx,W,2.0,{1}{W},2.0,1.0,,"As long as it's not your turn, Mesa Lynx gets +0/+2.",common,,,Creature,Cat
31,Nahiri's Binding,W,3.0,{1}{W}{W},,,,"Enchant creature or planeswalker
Enchanted permanent can't attack or block, and its activated abilities can't be activated.",common,Enchant,,Enchantment,Aura
32,Ondu Inversion,W,8.0,{6}{W}{W},,,,Destroy all nonland permanents.,rare,,,Sorcery,
33,Ondu Skyruins,L,0.0,,,,,"Ondu Skyruins enters the battlefield tapped.
{T}: Add {W}.",rare,,,Land,
34,Paired Tactician,W,3.0,{2}{W},3.0,2.0,,"Whenever Paired Tactician and at least one other Warrior attack, put a +1/+1 counter on Paired Tactician.",uncommon,,,Creature,"Human, Warrior"
35,Practiced Tactics,W,1.0,{W},,,,"Choose target attacking or blocking creature. Practiced Tactics deals damage to that creature equal to twice the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",common,,,Instant,
36,Pressure Point,W,2.0,{1}{W},,,,"Tap target creature.
Draw a card.",common,,,Instant,
37,Prowling Felidar,W,4.0,{3}{W},2.0,3.0,,"Vigilance
Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on Prowling Felidar.",common,"Landfall, Vigilance",,Creature,"Cat, Beast"
38,Resolute Strike,W,1.0,{W},,,,"Target creature gets +2/+2 until end of turn. If it's a Warrior, you may attach an Equipment you control to it.",common,,,Instant,
39,Sea Gate Banneret,W,1.0,{W},1.0,2.0,,{4}{W}: Creatures you control get +1/+1 until end of turn.,common,,,Creature,"Kor, Warrior"
40,Sejiri Shelter,W,2.0,{1}{W},,,,Target creature you control gains protection from the color of your choice until end of turn.,uncommon,,,Instant,
41,Sejiri Glacier,L,0.0,,,,,"Sejiri Glacier enters the battlefield tapped.
{T}: Add {W}.",uncommon,,,Land,
42,Shepherd of Heroes,W,5.0,{4}{W},3.0,4.0,,"Flying
When Shepherd of Heroes enters the battlefield, you gain 2 life for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",common,Flying,,Creature,"Angel, Cleric"
43,Skyclave Apparition,W,3.0,{1}{W}{W},2.0,2.0,,"When Skyclave Apparition enters the battlefield, exile up to one target nonland, nontoken permanent you don't control with mana value 4 or less.
When Skyclave Apparition leaves the battlefield, the exiled card's owner creates an X/X blue Illusion creature token, where X is the mana value of the exiled card.",rare,,,Creature,"Kor, Spirit"
44,Skyclave Cleric,W,2.0,{1}{W},1.0,3.0,,"When Skyclave Cleric enters the battlefield, you gain 2 life.",uncommon,,,Creature,"Kor, Cleric"
45,Skyclave Basilica,L,0.0,,,,,"Skyclave Basilica enters the battlefield tapped.
{T}: Add {W}.",uncommon,,,Land,
46,Squad Commander,W,4.0,{3}{W},3.0,3.0,,"When Squad Commander enters the battlefield, create a 1/1 white Kor Warrior creature token for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)
At the beginning of combat on your turn, if you have a full party, creatures you control get +1/+0 and gain indestructible until end of turn.",rare,,,Creature,"Kor, Warrior"
47,Smite the Monstrous,W,4.0,{3}{W},,,,Destroy target creature with power 4 or greater.,common,,,Instant,
48,Tazeem Raptor,W,3.0,{2}{W},2.0,2.0,,"Flying
When Tazeem Raptor enters the battlefield, you may return a land you control to its owner's hand.",common,Flying,,Creature,Bird
49,"Tazri, Beacon of Unity",W,5.0,{4}{W},4.0,6.0,,"This spell costs {1} less to cast for each creature in your party.
{2/U}{2/B}{2/R}{2/G}: Look at the top six cards of your library. You may reveal up to two Cleric, Rogue, Warrior, Wizard, and/or Ally cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.",mythic,,Legendary,Creature,"Human, Warrior"
50,Anticognition,U,2.0,{1}{U},,,,"Counter target creature or planeswalker spell unless its controller pays {2}. If an opponent has eight or more cards in their graveyard, instead counter that spell, then scry 2.",common,Scry,,Instant,
51,Beyeen Veil,U,2.0,{1}{U},,,,Creatures your opponents control get -2/-0 until end of turn.,uncommon,,,Instant,
52,Beyeen Coast,L,0.0,,,,,"Beyeen Coast enters the battlefield tapped.
{T}: Add {U}.",uncommon,,,Land,
53,Bubble Snare,U,1.0,{U},,,,"Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)
Enchant creature
When Bubble Snare enters the battlefield, if it was kicked, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",common,"Enchant, Kicker",,Enchantment,Aura
54,Cascade Seer,U,4.0,{3}{U},3.0,3.0,,"When Cascade Seer enters the battlefield, scry X, where X is the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",common,Scry,,Creature,"Merfolk, Wizard"
55,"Charix, the Raging Isle",U,4.0,{2}{U}{U},0.0,17.0,,"Spells your opponents cast that target Charix, the Raging Isle cost {2} more to cast.
{3}: Charix gets +X/-X until end of turn, where X is the number of Islands you control.",rare,,Legendary,Creature,"Leviathan, Crab"
56,Chilling Trap,U,1.0,{U},,,,"Target creature gets -4/-0 until end of turn. If you control a Wizard, draw a card.",common,,,Instant,
