,name,colors,manaValue,power,toughness,text,rarity,keywords,supertypes,types,subtypes
0,Aeronaut Admiral,W,4.0,3.0,1.0,"Flying
Vehicles you control have flying.",uncommon,Flying,,Creature,"Human, Pilot"
1,Aether Inspector,W,4.0,2.0,3.0,"Vigilance
When Aether Inspector enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Inspector attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,Vigilance,,Creature,"Dwarf, Artificer"
2,Aethergeode Miner,W,2.0,3.0,1.0,"Whenever Aethergeode Miner attacks, you get {E}{E} (two energy counters).
Pay {E}{E}: Exile Aethergeode Miner, then return it to the battlefield under its owner's control.",rare,,,Creature,"Dwarf, Scout"
3,Airdrop Aeronauts,W,5.0,4.0,3.0,"Flying
Revolt — When Airdrop Aeronauts enters the battlefield, if a permanent you controlled left the battlefield this turn, you gain 5 life.",uncommon,"Flying, Revolt",,Creature,"Dwarf, Scout"
4,Audacious Infiltrator,W,2.0,3.0,1.0,Audacious Infiltrator can't be blocked by artifact creatures.,common,,,Creature,"Dwarf, Rogue"
5,Bastion Enforcer,W,3.0,3.0,2.0,,common,,,Creature,"Dwarf, Soldier"
6,Countless Gears Renegade,W,2.0,2.0,2.0,"Revolt — When Countless Gears Renegade enters the battlefield, if a permanent you controlled left the battlefield this turn, create a 1/1 colorless Servo artifact creature token.",common,Revolt,,Creature,"Dwarf, Artificer"
7,Dawnfeather Eagle,W,5.0,3.0,3.0,"Flying
When Dawnfeather Eagle enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.",common,Flying,,Creature,Bird
8,Deadeye Harpooner,W,3.0,2.0,2.0,"Revolt — When Deadeye Harpooner enters the battlefield, if a permanent you controlled left the battlefield this turn, destroy target tapped creature an opponent controls.",uncommon,Revolt,,Creature,"Dwarf, Warrior"
9,Exquisite Archangel,W,7.0,5.0,5.0,"Flying
If you would lose the game, instead exile Exquisite Archangel and your life total becomes equal to your starting life total.",mythic,Flying,,Creature,Angel
10,Felidar Guardian,W,4.0,1.0,4.0,"When Felidar Guardian enters the battlefield, you may exile another target permanent you control, then return that card to the battlefield under its owner's control.",uncommon,,,Creature,"Cat, Beast"
11,Ghirapur Osprey,W,3.0,2.0,2.0,Flying,common,Flying,,Creature,Bird
12,Restoration Specialist,W,2.0,2.0,1.0,"{W}, Sacrifice Restoration Specialist: Return up to one target artifact card and up to one target enchantment card from your graveyard to your hand.",uncommon,,,Creature,"Dwarf, Artificer"
13,Solemn Recruit,W,3.0,2.0,2.0,"Double strike
Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a +1/+1 counter on Solemn Recruit.",rare,"Double strike, Revolt",,Creature,"Dwarf, Warrior"
14,"Sram, Senior Edificer",W,2.0,2.0,2.0,"Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.",rare,,Legendary,Creature,"Dwarf, Advisor"
15,Aether Swooper,U,2.0,1.0,2.0,"Flying
When Aether Swooper enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Swooper attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,Flying,,Creature,"Vedalken, Artificer"
16,Aethertide Whale,U,6.0,6.0,4.0,"Flying
When Aethertide Whale enters the battlefield, you get {E}{E}{E}{E}{E}{E} (six energy counters).
Pay {E}{E}{E}{E}: Return Aethertide Whale to its owner's hand.",rare,Flying,,Creature,Whale
17,"Baral, Chief of Compliance",U,2.0,1.0,3.0,"Instant and sorcery spells you cast cost {1} less to cast.
Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.",rare,,Legendary,Creature,"Human, Wizard"
18,Bastion Inventor,U,6.0,4.0,4.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",common,"Hexproof, Improvise",,Creature,"Vedalken, Artificer"
19,Dispersal Technician,U,5.0,3.0,2.0,"When Dispersal Technician enters the battlefield, you may return target artifact to its owner's hand.",common,,,Creature,"Vedalken, Artificer"
20,Hinterland Drake,U,3.0,2.0,3.0,"Flying
Hinterland Drake can't block artifact creatures.",common,Flying,,Creature,Drake
21,Quicksmith Spy,U,4.0,2.0,3.0,"When Quicksmith Spy enters the battlefield, target artifact you control gains ""{T}: Draw a card"" for as long as you control Quicksmith Spy.",rare,,,Creature,"Human, Artificer"
22,Salvage Scuttler,U,5.0,4.0,4.0,"Whenever Salvage Scuttler attacks, return an artifact you control to its owner's hand.",uncommon,,,Creature,Crab
23,Shielded Aether Thief,U,2.0,0.0,4.0,"Flash (You may cast this spell any time you could cast an instant.)
Whenever Shielded Aether Thief blocks, you get {E} (an energy counter).
{T}, Pay {E}{E}{E}: Draw a card.",uncommon,Flash,,Creature,"Vedalken, Rogue"
24,Shipwreck Moray,U,4.0,0.0,5.0,"When Shipwreck Moray enters the battlefield, you get {E}{E}{E}{E} (four energy counters).
Pay {E}: Shipwreck Moray gets +2/-2 until end of turn.",common,,,Creature,Fish
25,Skyship Plunderer,U,2.0,2.0,1.0,"Flying
Whenever Skyship Plunderer deals combat damage to a player, for each kind of counter on target permanent or player, give that permanent or player another counter of that kind.",uncommon,Flying,,Creature,"Human, Pirate"
26,Trophy Mage,U,3.0,2.0,2.0,"When Trophy Mage enters the battlefield, you may search your library for an artifact card with mana value 3, reveal it, put it into your hand, then shuffle.",uncommon,,,Creature,"Human, Wizard"
27,Wind-Kin Raiders,U,6.0,4.0,3.0,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Flying",uncommon,"Flying, Improvise",,Creature,"Human, Artificer"
